id,type,source,target
911201,/,208342,208339
911202,\,208337,208336
911203,/,208336,208337
911204,\,208333,208332
911205,/,208332,208333
911206,\,208408,208332
911207,/,208332,208408
911208,\,208335,208334
911209,/,208334,208335
911210,\,208393,208392
911211,/,208392,208393
911212,\,208382,208381
911213,/,208381,208382
911214,\,208424,208419
911215,/,208419,208424
911216,\,208421,208419
911217,/,208419,208421
911218,\,208420,208419
911219,/,208419,208420
911220,\,208423,208419
911221,/,208419,208423
911222,\,208422,208419
911223,/,208419,208422
911224,\,208425,208419
911225,/,208419,208425
911226,\,208426,208419
911227,/,208419,208426
911228,\,208427,208419
911229,/,208419,208427
911230,\,208428,208419
911231,/,208419,208428
911232,\,208429,208419
911233,/,208419,208429
911234,\,208431,208419
911235,/,208419,208431
911236,\,208430,208419
911237,/,208419,208430
911238,\,411891,208419
911239,/,208419,411891
911240,\,208406,208405
911241,/,208405,208406
911242,\,208402,208405
911243,/,208405,208402
911244,\,208403,208405
911245,/,208405,208403
911246,\,208404,208405
911247,/,208405,208404
911248,\,208401,208405
911249,/,208405,208401
911250,\,208435,208432
911251,/,208432,208435
911252,\,208411,208407
911253,/,208407,208411
911254,\,208414,208407
911255,/,208407,208414
911256,\,208415,208414
911257,/,208414,208415
911258,\,208413,208407
911259,/,208407,208413
911260,\,208417,208407
911261,/,208407,208417
911262,\,208386,208385
911263,/,208385,208386
911264,\,208387,208385
911265,/,208385,208387
911266,\,208388,208385
911267,/,208385,208388
911268,\,208390,208385
911269,/,208385,208390
911270,\,208370,208369
911271,/,208369,208370
911272,\,208376,208374
911273,/,208374,208376
911274,\,208378,208377
911275,/,208377,208378
911276,\,208448,208446
911277,/,208446,208448
911278,\,208444,208443
911279,/,208443,208444
911280,\,208213,208212
911281,/,208212,208213
911282,\,208216,208212
911283,/,208212,208216
911284,\,208217,208212
911285,/,208212,208217
911286,\,208218,208212
911287,/,208212,208218
911288,\,208230,208241
911289,/,208241,208230
911290,\,208236,208241
911291,/,208241,208236
911292,\,208234,208241
911293,/,208241,208234
911294,\,208225,208241
911295,/,208241,208225
911296,\,208240,208241
911297,/,208241,208240
911298,\,208281,208241
911299,/,208241,208281
911300,\,208280,208241
911301,/,208241,208280
911302,\,208277,208241
911303,/,208241,208277
911304,\,208288,208241
911305,/,208241,208288
911306,\,455842,208241
911307,/,208241,455842
911308,\,208226,208241
911309,/,208241,208226
911310,\,208233,208241
911311,/,208241,208233
911312,\,208235,208241
911313,/,208241,208235
911314,\,208232,208241
911315,/,208241,208232
911316,\,208229,208241
911317,/,208241,208229
911318,\,208231,208241
911319,/,208241,208231
911320,\,208238,208241
911321,/,208241,208238
911322,\,208239,208241
911323,/,208241,208239
911324,\,208244,208241
911325,/,208241,208244
911326,\,208263,208241
911327,/,208241,208263
911328,\,208279,208241
911329,/,208241,208279
911330,\,208283,208241
911331,/,208241,208283
911332,\,208282,208241
911333,/,208241,208282
911334,\,208243,208241
911335,/,208241,208243
911336,\,208242,208241
911337,/,208241,208242
911338,\,208285,208241
911339,/,208241,208285
911340,\,208284,208241
911341,/,208241,208284
911342,\,208256,208245
911343,/,208245,208256
911344,\,208254,208245
911345,/,208245,208254
911346,\,208255,208245
911347,/,208245,208255
911348,\,208257,208245
911349,/,208245,208257
911350,\,208258,208245
911351,/,208245,208258
911352,\,208252,208245
911353,/,208245,208252
911354,\,208253,208245
911355,/,208245,208253
911356,\,208251,208245
911357,/,208245,208251
911358,\,208250,208245
911359,/,208245,208250
911360,\,208259,208245
911361,/,208245,208259
911362,\,208264,208245
911363,/,208245,208264
911364,\,208265,208245
911365,/,208245,208265
911366,\,208261,208245
911367,/,208245,208261
911368,\,208262,208245
911369,/,208245,208262
911370,\,208266,208245
911371,/,208245,208266
911372,\,208260,208245
911373,/,208245,208260
911376,\,208267,208245
911377,/,208245,208267
911380,\,208269,208245
911381,/,208245,208269
911382,\,208270,208269
911383,/,208269,208270
911384,\,208272,208245
911385,/,208245,208272
911386,\,208271,208245
911387,/,208245,208271
911388,\,208273,208245
911389,/,208245,208273
911390,\,208274,208245
911391,/,208245,208274
911392,\,208275,208245
911393,/,208245,208275
911394,\,208287,208286
911395,/,208286,208287
911396,\,212239,212238
911397,/,212238,212239
911398,\,212804,212238
911399,/,212238,212804
911400,\,212409,212238
911401,/,212238,212409
911402,\,212366,212365
911403,/,212365,212366
911404,\,413640,212365
911405,/,212365,413640
911406,\,212370,212369
911407,/,212369,212370
911408,\,212373,212369
911409,/,212369,212373
911410,\,212374,212369
911411,/,212369,212374
911412,\,212375,212369
911413,/,212369,212375
911414,\,212338,212337
911415,/,212337,212338
911416,\,212325,212324
911417,/,212324,212325
911418,\,212335,212331
911419,/,212331,212335
911420,\,212334,212331
911421,/,212331,212334
911422,\,212336,212331
911423,/,212331,212336
911424,\,212323,212321
911425,/,212321,212323
911426,\,212863,212854
911427,/,212854,212863
911428,\,212860,212854
911429,/,212854,212860
911430,\,212867,212854
911431,/,212854,212867
911432,\,212859,212854
911433,/,212854,212859
911434,\,456040,212854
911435,/,212854,456040
911436,\,212866,212854
911437,/,212854,212866
911438,\,212868,212854
911439,/,212854,212868
911440,\,212864,212854
911441,/,212854,212864
911442,\,212865,212854
911443,/,212854,212865
911444,\,212870,212854
911445,/,212854,212870
911446,\,212871,212854
911447,/,212854,212871
911448,\,212869,212854
911449,/,212854,212869
911450,\,212861,212854
911451,/,212854,212861
911452,\,212874,212854
911453,/,212854,212874
911454,\,212875,212854
911455,/,212854,212875
911456,\,212862,212854
911457,/,212854,212862
911458,\,456038,212845
911459,/,212845,456038
911460,\,212842,212845
911461,/,212845,212842
911462,\,212848,212845
911463,/,212845,212848
911464,\,212843,212845
911465,/,212845,212843
911466,\,212844,212845
911467,/,212845,212844
911468,\,212849,212845
911469,/,212845,212849
911470,\,212846,212845
911471,/,212845,212846
911472,\,212847,212845
911473,/,212845,212847
911474,\,212850,212845
911475,/,212845,212850
911476,\,212879,212877
911477,/,212877,212879
911478,\,212705,456029
911479,/,456029,212705
911480,\,212706,456029
911481,/,456029,212706
911482,\,212700,456029
911483,/,456029,212700
911484,\,212702,456029
911485,/,456029,212702
911486,\,212704,456029
911487,/,456029,212704
911488,\,212703,456029
911489,/,456029,212703
911490,\,212701,456029
911491,/,456029,212701
911492,\,212708,456029
911493,/,456029,212708
911494,\,212709,456029
911495,/,456029,212709
911496,\,212707,456029
911497,/,456029,212707
911498,\,212711,456029
911499,/,456029,212711
911500,\,212710,456029
911501,/,456029,212710
911502,\,212714,456029
911503,/,456029,212714
911504,\,212713,456029
911505,/,456029,212713
911506,\,212712,456029
911507,/,456029,212712
911508,\,212715,456029
911509,/,456029,212715
911510,\,212717,456029
911511,/,456029,212717
911512,\,212718,456029
911513,/,456029,212718
911514,\,212290,212289
911515,/,212289,212290
911516,\,212299,212298
911517,/,212298,212299
911518,\,212300,212298
911519,/,212298,212300
911520,\,212301,212298
911521,/,212298,212301
911522,\,212295,212294
911523,/,212294,212295
911524,\,212296,212294
911525,/,212294,212296
911526,\,212293,212294
911527,/,212294,212293
911528,\,212292,212294
911529,/,212294,212292
911530,\,212302,212303
911531,/,212303,212302
911532,\,212317,212311
911533,/,212311,212317
911534,\,212313,212318
911535,/,212318,212313
911536,\,212314,212313
911537,/,212313,212314
911538,\,212309,212306
911539,/,212306,212309
911540,\,212310,212306
911541,/,212306,212310
911542,\,212499,212498
911543,/,212498,212499
911544,\,212444,212424
911545,/,212424,212444
911546,\,212438,212424
911547,/,212424,212438
911548,\,212439,212424
911549,/,212424,212439
911550,\,212434,212424
911551,/,212424,212434
911552,\,212435,212424
911553,/,212424,212435
911554,\,212441,212424
911555,/,212424,212441
911556,\,212472,212424
911557,/,212424,212472
911558,\,212473,212424
911559,/,212424,212473
911560,\,212474,212424
911561,/,212424,212474
911562,\,212475,212424
911563,/,212424,212475
911564,\,212476,212424
911565,/,212424,212476
911566,\,456023,212424
911567,/,212424,456023
911568,\,212471,212424
911569,/,212424,212471
911570,\,212437,212424
911571,/,212424,212437
911572,\,212436,212424
911573,/,212424,212436
911574,\,212448,212424
911575,/,212424,212448
911576,\,212450,212424
911577,/,212424,212450
911578,\,212449,212424
911579,/,212424,212449
911580,\,212433,212424
911581,/,212424,212433
911582,\,212445,212424
911583,/,212424,212445
911584,\,212446,212424
911585,/,212424,212446
911586,\,212447,212424
911587,/,212424,212447
911588,\,212466,212424
911589,/,212424,212466
911590,\,212468,212424
911591,/,212424,212468
911592,\,212470,212424
911593,/,212424,212470
911594,\,212479,212424
911595,/,212424,212479
911596,\,212477,212424
911597,/,212424,212477
911598,\,212483,212424
911599,/,212424,212483
911600,\,212481,212424
911601,/,212424,212481
911602,\,212480,212424
911603,/,212424,212480
911604,\,212484,212424
911605,/,212424,212484
911606,\,212482,212424
911607,/,212424,212482
911608,\,212485,212424
911609,/,212424,212485
911610,\,212487,212424
911611,/,212424,212487
911612,\,212489,212424
911613,/,212424,212489
911614,\,212490,212424
911615,/,212424,212490
911616,\,212488,212424
911617,/,212424,212488
911618,\,212497,212424
911619,/,212424,212497
911620,\,456025,212424
911621,/,212424,456025
911622,\,456024,212424
911623,/,212424,456024
911624,\,212443,212424
911625,/,212424,212443
911626,\,212442,212443
911627,/,212443,212442
911628,\,212491,212424
911629,/,212424,212491
911630,\,212492,212491
911631,/,212491,212492
911632,\,212458,212454
911633,/,212454,212458
911638,\,212456,212454
911639,/,212454,212456
911640,\,212457,212454
911641,/,212454,212457
911642,\,212461,212454
911643,/,212454,212461
911644,\,212467,212454
911645,/,212454,212467
911646,\,212464,212454
911647,/,212454,212464
911648,\,212465,212454
911649,/,212454,212465
911650,\,212469,212454
911651,/,212454,212469
911652,\,212463,212462
911653,/,212462,212463
911654,\,212537,212521
911655,/,212521,212537
911656,\,212529,212521
911657,/,212521,212529
911658,\,212530,212521
911659,/,212521,212530
911660,\,212531,212521
911661,/,212521,212531
911662,\,212533,212521
911663,/,212521,212533
911664,\,212532,212521
911665,/,212521,212532
911666,\,212525,212521
911667,/,212521,212525
911668,\,212524,212521
911669,/,212521,212524
911670,\,212526,212521
911671,/,212521,212526
911672,\,212535,212521
911673,/,212521,212535
911674,\,212536,212521
911675,/,212521,212536
911676,\,212548,212521
911677,/,212521,212548
911678,\,212547,212521
911679,/,212521,212547
911680,\,212528,212521
911681,/,212521,212528
911682,\,212527,212521
911683,/,212521,212527
911684,\,212541,212521
911685,/,212521,212541
911686,\,212542,212521
911687,/,212521,212542
911688,\,212544,212521
911689,/,212521,212544
911690,\,212543,212521
911691,/,212521,212543
911692,\,212522,212521
911693,/,212521,212522
911694,\,212523,212521
911695,/,212521,212523
911696,\,212538,212521
911697,/,212521,212538
911698,\,212539,212521
911699,/,212521,212539
911700,\,212540,212521
911701,/,212521,212540
911702,\,212553,212521
911703,/,212521,212553
911704,\,212545,212521
911705,/,212521,212545
911706,\,212549,212521
911707,/,212521,212549
911708,\,212550,212521
911709,/,212521,212550
911710,\,212551,212521
911711,/,212521,212551
911712,\,212552,212521
911713,/,212521,212552
911714,\,212546,212521
911715,/,212521,212546
911716,\,212534,212521
911717,/,212521,212534
911718,\,212556,212521
911719,/,212521,212556
911720,\,212557,212521
911721,/,212521,212557
911722,\,212559,212521
911723,/,212521,212559
911724,\,212555,212521
911725,/,212521,212555
911726,\,212520,212511
911727,/,212511,212520
911728,\,212519,212511
911729,/,212511,212519
911730,\,212517,212516
911731,/,212516,212517
911732,\,212575,212574
911733,/,212574,212575
911734,\,212582,212574
911735,/,212574,212582
911736,\,212583,212574
911737,/,212574,212583
911738,\,212585,212574
911739,/,212574,212585
911740,\,212584,212585
911741,/,212585,212584
911742,\,212579,212574
911743,/,212574,212579
911744,\,212578,212577
911745,/,212577,212578
911746,\,212580,212577
911747,/,212577,212580
911748,\,212581,212577
911749,/,212577,212581
911750,\,212567,212566
911751,/,212566,212567
911752,\,212610,212607
911753,/,212607,212610
911754,\,212611,212607
911755,/,212607,212611
911756,\,212609,212607
911757,/,212607,212609
911758,\,212592,212591
911759,/,212591,212592
911760,\,212594,212591
911761,/,212591,212594
911762,\,212595,212594
911763,/,212594,212595
911766,\,212596,212591
911767,/,212591,212596
911768,\,212597,212591
911769,/,212591,212597
911770,\,212600,212599
911771,/,212599,212600
911772,\,212571,212572
911773,/,212572,212571
911774,\,212633,212632
911775,/,212632,212633
911776,\,212639,212637
911777,/,212637,212639
911778,\,212640,212637
911779,/,212637,212640
911780,\,212617,212616
911781,/,212616,212617
911782,\,212619,212616
911783,/,212616,212619
911784,\,212618,212616
911785,/,212616,212618
911786,\,212622,212616
911787,/,212616,212622
911788,\,212621,212616
911789,/,212616,212621
911790,\,456027,212616
911791,/,212616,456027
911792,\,212254,212253
911793,/,212253,212254
911794,\,212252,212253
911795,/,212253,212252
911796,\,212250,212249
911797,/,212249,212250
911798,\,212266,212265
911799,/,212265,212266
911800,\,212268,212267
911801,/,212267,212268
911802,\,212260,212262
911803,/,212262,212260
911804,\,212261,212262
911805,/,212262,212261
911806,\,456022,212243
911807,/,212243,456022
911808,\,212279,212281
911809,/,212281,212279
911810,\,212280,212281
911811,/,212281,212280
911812,\,212284,212282
911813,/,212282,212284
911814,\,212275,212273
911815,/,212273,212275
911816,\,212274,212273
911817,/,212273,212274
911818,\,212397,212396
911819,/,212396,212397
911820,\,212825,212824
911821,/,212824,212825
911822,\,212649,212648
911823,/,212648,212649
911824,\,212650,212648
911825,/,212648,212650
911826,\,212651,212648
911827,/,212648,212651
911828,\,212670,212659
911829,/,212659,212670
911830,\,212671,212659
911831,/,212659,212671
911832,\,212675,212659
911833,/,212659,212675
911834,\,212668,212659
911835,/,212659,212668
911836,\,212673,212659
911837,/,212659,212673
911838,\,212667,212659
911839,/,212659,212667
911840,\,212665,212659
911841,/,212659,212665
911842,\,212666,212659
911843,/,212659,212666
911844,\,212672,212659
911845,/,212659,212672
911846,\,212674,212659
911847,/,212659,212674
911848,\,212677,212659
911849,/,212659,212677
911850,\,212669,212659
911851,/,212659,212669
911852,\,212676,212659
911853,/,212659,212676
911854,\,212682,212680
911855,/,212680,212682
911856,\,212681,212682
911857,/,212682,212681
911858,\,212654,212653
911859,/,212653,212654
911860,\,212378,212377
911861,/,212377,212378
911862,\,212379,212377
911863,/,212377,212379
911864,\,212381,212377
911865,/,212377,212381
911866,\,212382,212377
911867,/,212377,212382
911868,\,212386,212377
911869,/,212377,212386
911870,\,212384,212377
911871,/,212377,212384
911872,\,212385,212377
911873,/,212377,212385
911874,\,212393,212377
911875,/,212377,212393
911876,\,212389,212377
911877,/,212377,212389
911880,\,212391,212390
911881,/,212390,212391
911882,\,212392,212390
911883,/,212390,212392
911884,\,212751,212750
911885,/,212750,212751
911886,\,212731,212730
911887,/,212730,212731
911888,\,212743,212740
911889,/,212740,212743
911890,\,212742,212740
911891,/,212740,212742
911892,\,212741,212740
911893,/,212740,212741
911894,\,212745,212740
911895,/,212740,212745
911896,\,212737,212735
911897,/,212735,212737
911898,\,212764,212763
911899,/,212763,212764
911900,\,212766,212765
911901,/,212765,212766
911902,\,212773,212772
911903,/,212772,212773
911904,\,212775,212777
911905,/,212777,212775
911906,\,212758,212757
911907,/,212757,212758
911908,\,212759,212757
911909,/,212757,212759
911910,\,212785,212802
911911,/,212802,212785
911912,\,212786,212785
911913,/,212785,212786
911914,\,456032,212802
911915,/,212802,456032
911916,\,212798,212789
911917,/,212789,212798
911918,\,212800,212798
911919,/,212798,212800
911920,\,212799,212798
911921,/,212798,212799
911922,\,212801,212789
911923,/,212789,212801
911924,\,212790,212789
911925,/,212789,212790
911926,\,212791,212789
911927,/,212789,212791
911928,\,212792,212789
911929,/,212789,212792
911930,\,212793,212789
911931,/,212789,212793
911932,\,212794,212789
911933,/,212789,212794
911934,\,212817,212818
911935,/,212818,212817
911936,\,212819,212818
911937,/,212818,212819
911938,\,212821,212820
911939,/,212820,212821
911940,\,212807,212805
911941,/,212805,212807
911944,\,212809,212805
911945,/,212805,212809
911946,\,212808,212805
911947,/,212805,212808
911948,\,212830,212829
911949,/,212829,212830
911950,\,212831,212829
911951,/,212829,212831
911952,\,212832,212829
911953,/,212829,212832
911954,\,212834,212829
911955,/,212829,212834
911956,\,212833,212829
911957,/,212829,212833
911958,\,212835,212829
911959,/,212829,212835
911960,\,212839,212838
911961,/,212838,212839
911962,\,212880,212841
911963,/,212841,212880
911964,\,212882,212841
911965,/,212841,212882
911966,\,212883,212841
911967,/,212841,212883
911968,\,212881,212841
911969,/,212841,212881
911970,\,212689,212686
911971,/,212686,212689
911972,\,456039,212686
911973,/,212686,456039
911974,\,456028,212686
911975,/,212686,456028
911976,\,456051,212686
911977,/,212686,456051
911978,\,212693,212692
911979,/,212692,212693
911980,\,212694,212692
911981,/,212692,212694
911982,\,212344,212342
911983,/,212342,212344
911984,\,212345,212342
911985,/,212342,212345
911986,\,212346,212345
911987,/,212345,212346
911988,\,212347,212342
911989,/,212342,212347
911990,\,215868,215867
911991,/,215867,215868
911992,\,215824,215822
911993,/,215822,215824
911994,\,215825,215822
911995,/,215822,215825
911996,\,215827,215822
911997,/,215822,215827
911998,\,215828,215822
911999,/,215822,215828
912000,\,215829,215822
912001,/,215822,215829
912002,\,215826,215822
912003,/,215822,215826
912004,\,215816,215822
912005,/,215822,215816
912006,\,215817,215816
912007,/,215816,215817
912010,\,215818,215822
912011,/,215822,215818
912012,\,456158,215822
912013,/,215822,456158
912014,\,215819,215822
912015,/,215822,215819
912016,\,215832,215822
912017,/,215822,215832
912018,\,215833,215832
912019,/,215832,215833
912020,\,215834,215822
912021,/,215822,215834
912022,\,215835,215821
912023,/,215821,215835
912024,\,215830,215821
912025,/,215821,215830
912026,\,215813,215821
912027,/,215821,215813
912028,\,215831,215813
912029,/,215813,215831
912030,\,215778,215775
912031,/,215775,215778
912032,\,215781,215778
912033,/,215778,215781
912040,\,215782,215775
912041,/,215775,215782
912042,\,215855,215860
912043,/,215860,215855
912044,\,215856,215860
912045,/,215860,215856
912046,\,215858,215857
912047,/,215857,215858
912048,\,216066,215857
912049,/,215857,216066
912050,\,216064,216063
912051,/,216063,216064
912052,\,456163,215994
912053,/,215994,456163
912054,\,215991,215994
912055,/,215994,215991
912056,\,215996,215994
912057,/,215994,215996
912058,\,215998,215994
912059,/,215994,215998
912060,\,215992,215994
912061,/,215994,215992
912062,\,215995,215994
912063,/,215994,215995
912064,\,215997,215994
912065,/,215994,215997
912066,\,216001,215994
912067,/,215994,216001
912068,\,216000,216001
912069,/,216001,216000
912070,\,215988,215986
912071,/,215986,215988
912072,\,215989,215986
912073,/,215986,215989
912074,\,215990,215986
912075,/,215986,215990
912076,\,215802,215785
912077,/,215785,215802
912078,\,215791,215787
912079,/,215787,215791
912080,\,215789,215787
912081,/,215787,215789
912082,\,215790,215787
912083,/,215787,215790
912084,\,215812,215787
912085,/,215787,215812
912086,\,456157,215787
912087,/,215787,456157
912088,\,215799,215798
912089,/,215798,215799
912090,\,215804,215798
912091,/,215798,215804
912092,\,215803,215798
912093,/,215798,215803
912094,\,215801,215798
912095,/,215798,215801
912096,\,215800,215798
912097,/,215798,215800
912098,\,215808,215798
912099,/,215798,215808
912100,\,215810,215798
912101,/,215798,215810
912102,\,215796,215794
912103,/,215794,215796
912104,\,215797,215794
912105,/,215794,215797
912106,\,215795,215794
912107,/,215794,215795
912108,\,215918,215917
912109,/,215917,215918
912110,\,215921,215919
912111,/,215919,215921
912112,\,215920,215919
912113,/,215919,215920
912114,\,215928,215927
912115,/,215927,215928
912116,\,215929,215927
912117,/,215927,215929
912118,\,215924,215923
912119,/,215923,215924
912120,\,215895,215893
912121,/,215893,215895
912122,\,215889,215893
912123,/,215893,215889
912124,\,215891,215889
912125,/,215889,215891
912126,\,215890,215889
912127,/,215889,215890
912128,\,215902,215893
912129,/,215893,215902
912130,\,215899,215897
912131,/,215897,215899
912132,\,215901,215897
912133,/,215897,215901
912134,\,215906,215903
912135,/,215903,215906
912136,\,216023,216021
912137,/,216021,216023
912138,\,216025,216024
912139,/,216024,216025
912140,\,216026,216024
912141,/,216024,216026
912142,\,216036,216032
912143,/,216032,216036
912144,\,216034,216032
912145,/,216032,216034
912146,\,216030,216028
912147,/,216028,216030
912148,\,215941,215940
912149,/,215940,215941
912150,\,215933,215932
912151,/,215932,215933
912152,\,456161,215932
912153,/,215932,456161
912154,\,215934,215932
912155,/,215932,215934
912156,\,215935,215932
912157,/,215932,215935
912158,\,215938,215932
912159,/,215932,215938
912160,\,215937,215938
912161,/,215938,215937
912162,\,215945,215944
912163,/,215944,215945
912164,\,215949,215947
912165,/,215947,215949
912166,\,215957,215952
912167,/,215952,215957
912168,\,215953,215952
912169,/,215952,215953
912170,\,215955,215952
912171,/,215952,215955
912172,\,215960,215952
912173,/,215952,215960
912174,\,215958,215952
912175,/,215952,215958
912176,\,215959,215952
912177,/,215952,215959
912178,\,215956,215952
912179,/,215952,215956
912180,\,215963,215962
912181,/,215962,215963
912182,\,215882,215879
912183,/,215879,215882
912184,\,456159,215879
912185,/,215879,456159
912186,\,215883,215879
912187,/,215879,215883
912188,\,456160,215886
912189,/,215886,456160
912190,\,216014,216012
912191,/,216012,216014
912192,\,216015,216012
912193,/,216012,216015
912194,\,216016,216012
912195,/,216012,216016
912196,\,216046,216038
912197,/,216038,216046
912198,\,216060,216038
912199,/,216038,216060
912200,\,216040,216039
912201,/,216039,216040
912202,\,216042,216039
912203,/,216039,216042
912204,\,216041,216039
912205,/,216039,216041
912206,\,216048,216039
912207,/,216039,216048
912208,\,216045,216039
912209,/,216039,216045
912210,\,456164,216039
912211,/,216039,456164
912212,\,216059,216039
912213,/,216039,216059
912214,\,216061,216047
912215,/,216047,216061
912216,\,216062,216047
912217,/,216047,216062
912218,\,216049,216058
912219,/,216058,216049
912220,\,216050,216052
912221,/,216052,216050
912222,\,216051,216052
912223,/,216052,216051
912224,\,216057,216056
912225,/,216056,216057
912226,\,215967,215965
912227,/,215965,215967
912228,\,215976,215975
912229,/,215975,215976
912230,\,215981,215980
912231,/,215980,215981
912232,\,215982,215980
912233,/,215980,215982
912234,\,215974,215973
912235,/,215973,215974
912236,\,215970,215969
912237,/,215969,215970
912238,\,215979,215977
912239,/,215977,215979
912240,\,215840,215838
912241,/,215838,215840
912242,\,215850,215848
912243,/,215848,215850
912244,\,215851,215848
912245,/,215848,215851
912246,\,215853,215852
912247,/,215852,215853
912248,\,215854,215852
912249,/,215852,215854
912250,\,215846,215844
912251,/,215844,215846
912252,\,213061,213060
912253,/,213060,213061
912254,\,213051,213050
912255,/,213050,213051
912256,\,213256,213255
912257,/,213255,213256
912258,\,213257,213255
912259,/,213255,213257
912260,\,213258,213255
912261,/,213255,213258
912262,\,213038,213037
912263,/,213037,213038
912264,\,213040,213037
912265,/,213037,213040
912266,\,213039,213037
912267,/,213037,213039
912268,\,213201,213199
912269,/,213199,213201
912270,\,213210,213203
912271,/,213203,213210
912272,\,213208,213203
912273,/,213203,213208
912274,\,213209,213203
912275,/,213203,213209
912276,\,213216,213203
912277,/,213203,213216
912278,\,213215,213203
912279,/,213203,213215
912280,\,213206,213203
912281,/,213203,213206
912282,\,213207,213203
912283,/,213203,213207
912284,\,213205,213203
912285,/,213203,213205
912286,\,213211,213203
912287,/,213203,213211
912288,\,213204,213203
912289,/,213203,213204
912290,\,213212,213203
912291,/,213203,213212
912292,\,213213,213203
912293,/,213203,213213
912294,\,213214,213203
912295,/,213203,213214
912296,\,213044,213043
912297,/,213043,213044
912298,\,213119,213124
912299,/,213124,213119
912300,\,213120,213124
912301,/,213124,213120
912302,\,213123,213124
912303,/,213124,213123
912304,\,213027,213026
912305,/,213026,213027
912306,\,213032,213031
912307,/,213031,213032
912308,\,213094,213093
912309,/,213093,213094
912310,\,213104,213100
912311,/,213100,213104
912312,\,213103,213100
912313,/,213100,213103
912314,\,213102,213100
912315,/,213100,213102
912316,\,213101,213100
912317,/,213100,213101
912318,\,213110,213105
912319,/,213105,213110
912320,\,213114,213105
912321,/,213105,213114
912322,\,213109,213105
912323,/,213105,213109
912324,\,213107,213109
912325,/,213109,213107
912326,\,213108,213109
912327,/,213109,213108
912330,\,213116,213105
912331,/,213105,213116
912332,\,213115,213105
912333,/,213105,213115
912334,\,213112,213105
912335,/,213105,213112
912336,\,213113,213105
912337,/,213105,213113
912338,\,213095,213105
912339,/,213105,213095
912340,\,213237,213236
912341,/,213236,213237
912342,\,213238,213236
912343,/,213236,213238
912344,\,213240,213236
912345,/,213236,213240
912346,\,213239,213236
912347,/,213236,213239
912348,\,213233,213236
912349,/,213236,213233
912350,\,213234,213236
912351,/,213236,213234
912352,\,213230,213236
912353,/,213236,213230
912354,\,213229,213230
912355,/,213230,213229
912356,\,213232,213236
912357,/,213236,213232
912358,\,213231,213236
912359,/,213236,213231
912360,\,213241,213243
912361,/,213243,213241
912362,\,213242,213243
912363,/,213243,213242
912364,\,213185,213184
912365,/,213184,213185
912366,\,213188,213184
912367,/,213184,213188
912368,\,213187,213186
912369,/,213186,213187
912370,\,213163,213162
912371,/,213162,213163
912372,\,213161,213157
912373,/,213157,213161
912374,\,213160,213157
912375,/,213157,213160
912376,\,213144,213143
912377,/,213143,213144
912378,\,213192,213190
912379,/,213190,213192
912380,\,213191,213190
912381,/,213190,213191
912382,\,213134,213133
912383,/,213133,213134
912384,\,213140,213141
912385,/,213141,213140
912386,\,213136,213141
912387,/,213141,213136
912388,\,213137,213141
912389,/,213141,213137
912390,\,213139,213138
912391,/,213138,213139
912392,\,213150,213149
912393,/,213149,213150
912394,\,213172,213165
912395,/,213165,213172
912396,\,213174,213173
912397,/,213173,213174
912398,\,213175,213173
912399,/,213173,213175
912400,\,213170,213171
912401,/,213171,213170
912402,\,213167,213171
912403,/,213171,213167
912404,\,213168,213171
912405,/,213171,213168
912406,\,213179,213178
912407,/,213178,213179
912408,\,213181,213180
912409,/,213180,213181
912410,\,213073,213068
912411,/,213068,213073
912412,\,213069,213068
912413,/,213068,213069
912414,\,213070,213068
912415,/,213068,213070
912416,\,213076,213068
912417,/,213068,213076
912418,\,213077,213068
912419,/,213068,213077
912420,\,213078,213068
912421,/,213068,213078
912422,\,213081,213068
912423,/,213068,213081
912424,\,213079,213068
912425,/,213068,213079
912426,\,213080,213068
912427,/,213068,213080
912428,\,213071,213068
912429,/,213068,213071
912430,\,213072,213068
912431,/,213068,213072
912432,\,213088,213068
912433,/,213068,213088
912434,\,213086,213068
912435,/,213068,213086
912436,\,213087,213068
912437,/,213068,213087
912438,\,213085,213068
912439,/,213068,213085
912440,\,213089,213068
912441,/,213068,213089
912442,\,213091,213068
912443,/,213068,213091
912444,\,213090,213068
912445,/,213068,213090
912446,\,213084,213068
912447,/,213068,213084
912448,\,213083,213082
912449,/,213082,213083
912450,\,213218,213217
912451,/,213217,213218
912452,\,213219,213217
912453,/,213217,213219
912454,\,213228,213217
912455,/,213217,213228
912456,\,213226,213225
912457,/,213225,213226
912458,\,213221,213220
912459,/,213220,213221
912460,\,456047,213220
912461,/,213220,456047
912462,\,213223,213222
912463,/,213222,213223
912464,\,213246,213245
912465,/,213245,213246
912466,\,213254,213245
912467,/,213245,213254
912468,\,213251,213245
912469,/,213245,213251
912470,\,213253,213245
912471,/,213245,213253
912472,\,456048,213250
912473,/,213250,456048
912474,\,213248,213250
912475,/,213250,213248
912476,\,213261,213262
912477,/,213262,213261
912478,\,213272,213271
912479,/,213271,213272
912480,\,213273,213271
912481,/,213271,213273
912482,\,213266,213265
912483,/,213265,213266
912484,\,213280,213277
912485,/,213277,213280
912486,\,213279,213277
912487,/,213277,213279
912488,\,213284,213277
912489,/,213277,213284
912490,\,213283,213277
912491,/,213277,213283
912492,\,213286,213277
912493,/,213277,213286
912494,\,213287,213277
912495,/,213277,213287
912496,\,213285,213277
