id,type,source,target
905801,/,210599,210630
905802,\,210631,210599
905803,/,210599,210631
905804,\,455940,210599
905805,/,210599,455940
905806,\,210628,210599
905807,/,210599,210628
905808,\,210622,210599
905809,/,210599,210622
905810,\,210623,210599
905811,/,210599,210623
905812,\,210626,210599
905813,/,210599,210626
905814,\,210661,210599
905815,/,210599,210661
905816,\,210662,210599
905817,/,210599,210662
905818,\,210666,210599
905819,/,210599,210666
905820,\,210665,210599
905821,/,210599,210665
905822,\,210671,210599
905823,/,210599,210671
905824,\,210672,210599
905825,/,210599,210672
905826,\,210669,210599
905827,/,210599,210669
905828,\,210616,210599
905829,/,210599,210616
905830,\,210650,210599
905831,/,210599,210650
905832,\,210659,210599
905833,/,210599,210659
905834,\,210658,210599
905835,/,210599,210658
905836,\,210657,210599
905837,/,210599,210657
905838,\,210656,210599
905839,/,210599,210656
905840,\,210728,210599
905841,/,210599,210728
905842,\,210751,210599
905843,/,210599,210751
905844,\,455947,210599
905845,/,210599,455947
905846,\,210755,210599
905847,/,210599,210755
905848,\,210753,210599
905849,/,210599,210753
905850,\,210756,210599
905851,/,210599,210756
905852,\,210780,210599
905853,/,210599,210780
905854,\,210781,210599
905855,/,210599,210781
905856,\,210782,210599
905857,/,210599,210782
905858,\,210734,210599
905859,/,210599,210734
905860,\,210735,210599
905861,/,210599,210735
905862,\,210736,210599
905863,/,210599,210736
905864,\,210733,210599
905865,/,210599,210733
905866,\,210636,210599
905867,/,210599,210636
905868,\,210637,210599
905869,/,210599,210637
905870,\,210865,210599
905871,/,210599,210865
905872,\,210867,210599
905873,/,210599,210867
905874,\,210866,210599
905875,/,210599,210866
905876,\,210868,210599
905877,/,210599,210868
905878,\,210602,210599
905879,/,210599,210602
905880,\,210601,210602
905881,/,210602,210601
905894,\,210618,210599
905895,/,210599,210618
905896,\,210634,210599
905897,/,210599,210634
905898,\,210667,210599
905899,/,210599,210667
905900,\,210673,210599
905901,/,210599,210673
905902,\,210674,210599
905903,/,210599,210674
905904,\,210675,210599
905905,/,210599,210675
905906,\,455948,210599
905907,/,210599,455948
905908,\,210754,210599
905909,/,210599,210754
905910,\,455938,210599
905911,/,210599,455938
905912,\,455939,210599
905913,/,210599,455939
905914,\,210641,210599
905915,/,210599,210641
905916,\,210641,210641
905917,/,210641,210641
905918,\,210647,210641
905919,/,210641,210647
905920,\,210749,210742
905921,/,210742,210749
905922,\,210745,210742
905923,/,210742,210745
905924,\,210823,210742
905925,/,210742,210823
905926,\,210824,210742
905927,/,210742,210824
905928,\,210651,210649
905929,/,210649,210651
905930,\,210652,210649
905931,/,210649,210652
905932,\,210761,210759
905933,/,210759,210761
905934,\,210767,210759
905935,/,210759,210767
905936,\,210766,210759
905937,/,210759,210766
905938,\,210768,210759
905939,/,210759,210768
905940,\,210764,210759
905941,/,210759,210764
905942,\,210765,210759
905943,/,210759,210765
905944,\,210763,210759
905945,/,210759,210763
905946,\,210762,210759
905947,/,210759,210762
905948,\,210769,210759
905949,/,210759,210769
905950,\,210770,210759
905951,/,210759,210770
905952,\,210771,210770
905953,/,210770,210771
905954,\,210773,210759
905955,/,210759,210773
905956,\,210772,210773
905957,/,210773,210772
905958,\,210775,210759
905959,/,210759,210775
905960,\,210776,210759
905961,/,210759,210776
905962,\,210706,210693
905963,/,210693,210706
905964,\,210696,210693
905965,/,210693,210696
905966,\,210699,210693
905967,/,210693,210699
905968,\,210697,210693
905969,/,210693,210697
905970,\,210695,210693
905971,/,210693,210695
905972,\,210700,210693
905973,/,210693,210700
905974,\,210698,210693
905975,/,210693,210698
905976,\,210701,210693
905977,/,210693,210701
905978,\,210702,210693
905979,/,210693,210702
905980,\,210703,210693
