03,शारिकानाथ,n,n-----m--a,,,,/ɕɑː.ɹi.kɑː.nɑː.t̪ʰə/,शारिका-नाथ,0
427353,131284,शारीरकप्रदीपिका,n,n-----f--ā,,,,/ɕɑː.ɹiː.ɹə.ˈkəp.ɹə.d̪iː.pi.kɑː/,शारीरक-प्रदीपिका,0
427354,,शारीरकसम्बन्धोक्तिसंक्षेप,n,n-----m--a,,,,/ɕɑː.ɹiː.ɹə.kə.səm.bən.d̪ʰoːk.t̪i.səŋk.ʂeː.pə/,शारीरक-सम्बन्धोक्ति-संक्षेप,0
427355,132385,शारीरकसंग्रह,n,n-----m--a,,,,/ɕɑː.ɹiː.ɹə.kə.səŋ.gɹə.ɦə/,शारीरक-संग्रह,0
427356,131286,शारीरकसंक्षेप,n,n-----m--a,,,,/ɕɑː.ɹiː.ɹə.kə.səŋk.ʂeː.pə/,शारीरक-संक्षेप,0
427357,132386,शारीरकसूत्र,n,n-----n--a,,,,/ɕɑː.ɹiː.ɹə.kə.suːt̪.ɹə/,शारीरक-सूत्र,0
427358,,शारीरकसूत्रसारार्थचन्द्रिका,n,n-----f--ā,,,,/ɕɑː.ɹiː.ɹə.kə.suːt̪.ɹə.sɑː.ɹɑːɹ.t̪ʰə.t͡ɕən.d̪ɹi.kɑː/,शारीरक-सूत्र-सारार्थ-चन्द्रिका,0
427359,131285,शारीरकशास्त्रदर्पण,n,n-----m--a,,,,/ɕɑː.ɹiː.ɹə.kə.ɕɑːs.t̪ɹə.ˈd̪əɹ.pə.ɳə/,शारीरक-शास्त्र-दर्पण,0
427360,131283,शारीरकटीका,n,n-----f--ā,,,,/ɕɑː.ɹiː.ɹə.kə.ʈiː.kɑː/,शारीरक-टीका,0
427361,131287,शारीरकोपनिषद्,n,n-----f--c,,,,/ɕɑː.ɹiː.ɹə.koː.pə.ni.ʂəd̪/,शारीरकोपनिषद्,0
427362,131288,शारीरकीय,a,ap----a--a,,,,/ɕɑː.ɹiː.ɹə.kiː.jə/,शारीरकीय,0
427363,132379,शारीरलक्षण,n,n-----n--a,,,,/ɕɑː.ɹiː.ɹə.ˈlək.ʂə.ɳə/,शारीर॔-लक्षण,0
427364,,शारीरस्थान,n,n-----n--a,,,,/ɕɑː.ɹiː.ˈɹəs.t̪ʰɑː.nə/,शारीर॔-स्थान,0
427365,,शारीरवैद्य,n,n-----n--a,,,,/ɕɑː.ɹiː.ɹə.ʋɑːi.d̪jə/,शारीर॔-वैद्य,0
427366,,शारीरविद्या,n,n-----f--ā,,,,/ɕɑː.ɹiː.ɹə.ˈʋid̪.jɑː/,शारीर॔-विद्या,0
427367,,शारीरव्रण,n,n-----m--a,,,,/ɕɑː.ɹiː.ˈɹəʋ.ɹə.ɳə/,शारीर॔-व्रण,0
427368,131289,शारीरिक,a,ap----a--a,,,,/ɕɑː.ɹiː.ɹi.kə/,शारीरिक,0
496652,214881,रुष,n,n-----m--a,,,,/ɹu.ʂə/,,0
