,भूमिपतित्व,n,n-----n--a,,,,/bʱuː.mi.pə.ˈt̪it̪.ʋə/,भूमि-पति-त्व,0
232620,25137,भूपुत्र,n,n-----m--a,,,,/bʱuː.ˈput̪.ɹə/,भू॔-पुत्र,0
232621,25138,भूपुत्री,n,n-----f--ī,,,,/bʱuː.ˈput̪.ɹiː/,भू॔-पुत्री,0
232622,,भूपादिस्कन्धलक्षण,n,n-----n--a,,,,/bʱuː.pɑː.ˈd̪is.kən.d̪ʰə.ˈlək.ʂə.ɳə/,भू॔-पादि-स्कन्ध-लक्षण,0
232623,25133,भूपाल,n,n-----m--a,,,,/bʱuː.pɑː.lə/,भू॔-पाल,0
232624,,भूपालभूषण,n,n-----n--a,,,,/bʱuː.pɑː.lə.bʱuː.ʂə.ɳə/,भू॔-पाल-भूषण,0
232625,,भूपाललोक,n,n-----m--a,,,,/bʱuː.pɑː.lə.loː.kə/,भू॔-पाल-लोक,0
232626,25135,भूपालन,n,n-----n--a,,,,/bʱuː.pɑː.lə.nə/,भू॔-पालन,0
232627,,भूपालस्तोत्र,n,n-----n--a,,,,/bʱuː.pɑː.ˈləs.t̪oːt̪.ɹə/,भू॔-पाल-स्तोत्र,0
232628,,भूपालसाहि,n,n-----m--i,,,,/bʱuː.pɑː.lə.sɑː.ɦi/,भू॔-पाल-साहि,0
232629,,भूपालवल्लभ,n,n-----m--a,,,,/bʱuː.pɑː.lə.ˈʋəl.lə.bʱə/,भू॔-पाल-वल्लभ,0
232630,,भूपालश्री,n,n-----f--ī,,,,/bʱuːpɑːləɕɹiː/,भू॔-पाल-श्री,0
232631,25134,भूपाली,n,n-----f--ī,,,,/bʱuː.pɑː.liː/,भू॔-पाली,0
232632,25132,भूपात,n,n-----m--a,,,,/bʱuː.pɑː.t̪ə/,भू॔-पात,0
232633,25131,भूपाटली,n,n-----f--ī,,,,/bʱuː.pɑː.ʈə.liː/,भू॔-पाटली,0
232634,25140,भूपूग,n,n-----m--a,,,,/bʱuː.puː.gə/,भू॔-पूग,0
232635,,भूर्,r,rp--------,,,,/bʱuːɹ/,भू॔र्,0
232636,25164,भूरमण,n,n-----m--a,,,,/bʱuː.ɹə.mə.ɳə/,भू॔-रमण,0
232637,25162,भूरति,n,n-----m--i,,,,/bʱuː.ɹə.t̪i/,भू॔-रति,0
232638,25163,भूरत्न,n,n-----n--a,,,,/bʱuː.ˈɹət̪.nə/,भू॔-रत्न,0
