4,आततीकरण,n,n-----n--a,,,,/ɑː.t̪ə.t̪iː.kə.ɹə.ɳə/,आतती-करण,0
415276,,आत्मदा,a,ap----a--ā,,,,/ɑːt̪.mə.d̪ɑː/,आत्म-दा॔,0
415277,57788,आत्मदान,n,n-----n--a,,,,/ɑːt̪.mə.d̪ɑː.nə/,आत्म-दान,0
415278,57789,आत्मदूषि,a,ap----a--i,,,,/ɑːt̪.mə.d̪uː.ʂi/,आत्म-दू॔षि,0
415279,57757,आत्मगत,a,ap----a--a,,,,/ɑːt̪.mə.gə.t̪ə/,आत्म-गत,0
415280,,आत्मगतम्,r,rp--------,,,,/ɑːt̪.mə.gə.t̪əm/,आत्म-गतम्,0
415281,57758,आत्मगति,n,n-----f--i,,,,/ɑːt̪.mə.gə.t̪i/,आत्म-गति,0
415282,,आत्मगत्या,r,rp--------,,,,/ɑːt̪.mə.ˈgət̪.jɑː/,आत्म-गत्या,0
415283,57766,आत्मघोष,n,n-----m--a,,,,/ɑːt̪.mə.gʰoː.ʂə/,आत्म-घोष,0
415284,57763,आत्मघात,n,n-----m--a,,,,/ɑːt̪.mə.gʰɑː.t̪ə/,आत्म-घात,0
415285,57764,आत्मघातक,n,n-----m--a,,,,/ɑːt̪.mə.gʰɑː.t̪ə.kə/,आत्म-घातक,0
415286,57765,आत्मघातिन्,n,n-----m--n,,,,/ɑːt̪.mə.gʰɑː.t̪in/,आत्म-घातिन्,0
415287,57762,आत्मग्राहिन्,a,ap----a--n,,,,/ɑːt̪.ˈməg.ɹɑː.ɦin/,आत्म-ग्राहिन्,0
415288,57761,आत्मगुप्ति,n,n-----f--i,,,,/ɑːt̪.mə.ˈgup.t̪i/,आत्म-गुप्ति,0
415289,57760,आत्मगुप्ता,n,n-----f--ā,,,,/ɑːt̪.mə.ˈgup.t̪ɑː/,आत्म-गुप्ता,0
415290,,आत्मगुण,n,n-----n--a,,,,/ɑːt̪.mə.gu.ɳə/,आत्म-गुण,0
415292,,आत्महन्,n,n-----m--n,,,,/ɑːt̪.mə.ɦən/,आत्म-हन्,0
415293,,आत्महन्,a,ap----a--n,,,,/ɑːt̪.mə.ɦən/,आत्म-हन्,0
415294,57876,आत्महनन,n,n-----n--a,,,,/ɑːt̪.mə.ɦə.nə.nə/,आत्म-हनन,0
415295,57875,आत्महत्या,n,n-----f--ā,,,,/ɑːt̪.mə.ˈɦət̪.jɑː/,आत्म-हत्या,0
415296,,आत्महित,n,n-----n--a,,,,/ɑːt̪.mə.ɦi.t̪ə/,आत्म-हित,0
415297,,आत्महित,a,ap----a--a,,,,/ɑːt̪.mə.ɦi.t̪ə/,आत्म-हित,0
415298,,आत्महितायन,n,n-----m--a,,,,/ɑːt̪.mə.ɦi.t̪ɑː.jə.nə/,आत्म-हितायन,0
415299,,आत्मज,a,ap----a--a,,,,/ɑːt̪.mə.d͡ʑə/,आत्म-ज,0
415300,57770,आत्मज,n,n-----m--a,,,,/ɑːt̪.mə.d͡ʑə/,आत्म-ज,0
415302,,आत्मजन्मन्,n,n-----n--n,,,,/ɑːt̪.mə.d͡ʑən.mən/,आत्म-जन्मन्,0
415303,207825,आत्मजन्मन्,n,n-----m--n,,,,/ɑːt̪.mə.d͡ʑən.mən/,आत्म-जन्मन्,0
415304,,आत्मजित्,a,ap----a--c,,,,/ɑːt̪.mə.d͡ʑit̪/,आत्म-जित्,0
415305,,आत्मज्योतिरुपनिषद्,n,n-----f--c,,,,/ɑːt̪.ˈməd͡ʑ.joː.t̪i.ɹu.pə.ni.ʂəd̪/,आत्म-ज्योतिर्-उपनिषद्,0
415306,,आत्मज्योतिस्,n,n-----n-si,,,,/ɑːt̪.ˈməd͡ʑ.joː.t̪is/,आत्म-ज्योतिस्,0
415307,,आत्मज्योतिस्,a,ap----a-si,,,,/ɑːt̪.ˈməd͡ʑ.joː.t̪is/,आत्म॔-ज्योतिस्,0
415308,,आत्मज्ञ,a,ap----a--a,,,,/ɑːt̪.ˈməd͡ʑ.ɲə/,आत्म-ज्ञ,0
