c,430246,467785
1452881,+c,467808,430517
1452882,-c,430517,467808
1452883,+c,467808,430503
1452884,-c,430503,467808
1452885,+c,467808,430504
1452886,-c,430504,467808
1452887,+c,467808,430501
1452888,-c,430501,467808
1452889,+c,467808,430502
1452890,-c,430502,467808
1452891,+c,467808,430506
1452892,-c,430506,467808
1452893,+c,372328,430506
1452894,-c,430506,372328
1452895,+c,467808,430505
1452896,-c,430505,467808
1452897,+c,467808,430486
1452898,-c,430486,467808
1452899,+c,264438,430486
1452900,-c,430486,264438
1452901,+c,467808,430485
1452902,-c,430485,467808
1452903,+c,264438,430485
1452904,-c,430485,264438
1452905,+c,467808,430486
1452906,-c,430486,467808
1452907,+c,264438,430486
1452908,-c,430486,264438
1452913,+c,467808,467809
1452914,-c,467809,467808
1452915,+c,263867,467809
1452916,-c,467809,263867
1452917,+c,467810,430519
1452918,-c,430519,467810
1452919,+c,467810,430520
1452920,-c,430520,467810
1452921,+c,467810,430518
1452922,-c,430518,467810
1452923,+c,456789,430438
1452924,-c,430438,456789
1452925,+c,456789,430439
1452926,-c,430439,456789
1452927,+c,430462,430463
1452928,-c,430463,430462
1452929,+c,407487,430463
1452930,-c,430463,407487
1452931,+c,430456,430457
1452932,-c,430457,430456
1452933,+c,430456,430458
1452934,-c,430458,430456
1452935,+c,430456,430460
1452936,-c,430460,430456
1452937,+c,378440,430460
1452938,-c,430460,378440
1452939,+c,430456,430459
1452940,-c,430459,430456
1452941,+c,430456,430461
1452942,-c,430461,430456
1452943,+c,430464,430469
1452944,-c,430469,430464
1452945,+c,430464,430470
1452946,-c,430470,430464
1452947,+c,268942,430470
1452948,-c,430470,268942
1452949,+c,430464,430471
1452950,-c,430471,430464
1452951,+c,460347,430471
1452952,-c,430471,460347
1452953,+c,430464,430472
1452954,-c,430472,430464
1452955,+c,430464,430478
1452956,-c,430478,430464
1452957,+c,430464,430466
1452958,-c,430466,430464
1452959,+c,430464,430468
1452960,-c,430468,430464
1452961,+c,251621,430468
1452962,-c,430468,251621
1452963,+c,430464,430467
1452964,-c,430467,430464
1452965,+c,457623,430467
1452966,-c,430467,457623
1452967,+c,430464,430474
1452968,-c,430474,430464
1452969,+c,336595,430474
1452970,-c,430474,336595
1452971,+c,430464,430475
1452972,-c,430475,430464
1452973,+c,336622,430475
1452974,-c,430475,336622
1452975,+c,430464,430476
1452976,-c,430476,430464
1452977,+c,336622,430476
1452978,-c,430476,336622
1452979,+c,430464,430473
1452980,-c,430473,430464
1452981,+c,462149,430473
1452982,-c,430473,462149
1452983,+c,430464,430479
1452984,-c,430479,430464
1452985,+c,430464,430480
1452986,-c,430480,430464
1452987,+c,401506,430480
1452988,-c,430480,401506
1452989,+c,430464,430477
1452990,-c,430477,430464
1452991,+c,467807,430451
1452992,-c,430451,467807
1452993,+c,467807,430453
1452994,-c,430453,467807
1452997,+c,467807,430452
1452998,-c,430452,467807
1452999,+c,384161,430452
1453000,-c,430452,384161
1453001,+c,467823,430685
1453002,-c,430685,467823
1453003,+c,467823,430688
1453004,-c,430688,467823
1453005,+c,467823,430687
1453006,-c,430687,467823
1453007,+c,467823,430686
1453008,-c,430686,467823
1453009,+c,467823,467829
1453010,-c,467829,467823
1453011,+c,467823,467825
1453012,-c,467825,467823
1453013,+c,467823,467826
1453014,-c,467826,467823
1453015,+c,467823,430689
1453016,-c,430689,467823
1453017,+c,467823,430772
1453018,-c,430772,467823
1453023,+c,467823,430689
1453024,-c,430689,467823
1453025,+c,467823,430696
1453026,-c,430696,467823
1453027,+c,456933,430696
1453028,-c,430696,456933
1453029,+c,467828,430710
1453030,-c,430710,467828
1453031,+c,459239,430710
1453032,-c,430710,459239
1453033,+c,328947,430710
1453034,-c,430710,328947
1453035,+c,467828,430711
1453036,-c,430711,467828
1453037,+c,459239,430711
1453038,-c,430711,459239
1453039,+c,271121,430709
1453040,-c,430709,271121
1453041,+c,467828,430712
1453042,-c,430712,467828
1453043,+c,467828,430713
1453044,-c,430713,467828
1453045,+c,336622,430713
1453046,-c,430713,336622
1453047,+c,467828,430714
1453048,-c,430714,467828
1453049,+c,282893,430714
1453050,-c,430714,282893
1453051,+c,467828,430715
1453052,-c,430715,467828
1453053,+c,467828,430700
1453054,-c,430700,467828
1453055,+c,318035,430700
1453056,-c,430700,318035
1453057,+c,246095,430700
1453058,-c,430700,246095
1453059,+c,467828,430701
1453060,-c,430701,467828
1453061,+c,318035,430701
1453062,-c,430701,318035
1453063,+c,467828,430702
1453064,-c,430702,467828
1453065,+c,260592,430702
1453066,-c,430702,260592
1453067,+c,467828,430703
1453068,-c,430703,467828
1453069,+c,467828,430731
1453070,-c,430731,467828
1453071,+c,464661,430731
1453072,-c,430731,464661
1453073,+c,467828,430697
1453074,-c,430697,467828
1453075,+c,467828,430699
1453076,-c,430699,467828
1453077,+c,251336,430699
1453078,-c,430699,251336
1453079,+c,467828,430698
1453080,-c,430698,467828
1453081,+c,467828,430720
1453082,-c,430720,467828
1453083,+c,467828,430721
1453084,-c,430721,467828
1453085,+c,467828,430723
1453086,-c,430723,467828
1453087,+c,427633,430723
1453088,-c,430723,427633
1453089,+c,467828,430722
1453090,-c,430722,467828
1453091,+c,467828,430695
1453092,-c,430695,467828
1453093,+c,456933,430695
1453094,-c,430695,456933
1453095,+c,467828,430692
1453096,-c,430692,467828
1453097,+c,230771,430692
1453098,-c,430692,230771
1453099,+c,467828,430694
1453100,-c,430694,467828
1453101,+c,467828,430693
1453102,-c,430693,467828
1453103,+c,230771,430693
1453104,-c,430693,230771
1453105,+c,246095,430693
1453106,-c,430693,246095
1453107,+c,467828,430691
1453108,-c,430691,467828
1453109,+c,229871,430691
1453110,-c,430691,229871
1453111,+c,467828,430719
1453112,-c,430719,467828
1453113,+c,467828,430718
1453114,-c,430718,467828
1453115,+c,299135,430718
1453116,-c,430718,299135
1453117,+c,467828,430727
1453118,-c,430727,467828
1453119,+c,467828,430728
1453120,-c,430728,467828
1453121,+c,467828,430724
1453122,-c,430724,467828
1453123,+c,467828,430725
1453124,-c,430725,467828
1453125,+c,309608,430725
1453126,-c,430725,309608
1453127,+c,467828,430726
1453128,-c,430726,467828
1453129,+c,467828,430716
1453130,-c,430716,467828
1453131,+c,467828,430732
1453132,-c,430732,467828
1453133,+c,465441,430732
1453134,-c,430732,465441
1453135,+c,467828,430733
1453136,-c,430733,467828
1453137,+c,467828,430734
1453138,-c,430734,467828
1453139,+c,467828,430735
1453140,-c,430735,467828
1453141,+c,467828,430729
1453142,-c,430729,467828
1453143,+c,467828,430730
1453144,-c,430730,467828
1453145,+c,467831,430736
1453146,-c,430736,467831
1453147,+c,467831,430749
1453148,-c,430749,467831
1453149,+c,467831,430746
1453150,-c,430746,467831
1453151,+c,462401,430746
1453152,-c,430746,462401
1453153,+c,467831,430745
1453154,-c,430745,467831
1453155,+c,328947,430745
1453156,-c,430745,328947
1453157,+c,467831,430741
1453158,-c,430741,467831
1453159,+c,460502,430741
1453160,-c,430741,460502
1453161,+c,467831,430750
1453162,-c,430750,467831
1453163,+c,467831,430748
1453164,-c,430748,467831
1453165,+c,467831,430747
1453166,-c,430747,467831
1453167,+c,430776,430778
1453168,-c,430778,430776
1453169,+c,430776,430777
1453170,-c,430777,430776
1453171,+c,430776,430779
1453172,-c,430779,430776
1453173,+c,430792,430793
1453174,-c,430793,430792
1453175,+c,430792,430794
1453176,-c,430794,430792
1453177,+c,328947,430794
1453178,-c,430794,328947
1453179,+c,430792,430796
1453180,-c,430796,430792
1453181,+c,430792,430795
1453182,-c,430795,430792
1453183,+c,467823,467827
1453184,-c,467827,467823
1453185,+c,467823,467824
1453186,-c,467824,467823
1453187,+c,456859,346461
1453188,-c,346461,456859
1453189,+c,272156,346316
1453190,-c,346316,272156
1453191,+c,429745,357991
1453192,-c,357991,429745
1453193,+c,463268,357674
1453194,-c,357674,463268
1453195,+c,463268,357680
1453196,-c,357680,463268
1453197,+c,463268,357783
1453198,-c,357783,463268
1453199,+c,463268,357784
1453200,-c,357784,463268
1453201,+c,410905,357784
1453202,-c,357784,410905
1453203,+c,463268,357785
1453204,-c,357785,463268
1453205,+c,463268,357786
1453206,-c,357786,463268
1453207,+c,463268,357787
1453208,-c,357787,463268
1453209,+c,410926,357787
1453210,-c,357787,410926
1453211,+c,346660,462950
1453212,-c,462950,346660
1453213,+c,463268,357713
1453214,-c,357713,463268
1453215,+c,463268,357717
1453216,-c,357717,463268
1453217,+c,466520,357717
1453218,-c,357717,466520
1453219,+c,463268,357711
1453220,-c,357711,463268
1453221,+c,466520,357711
1453222,-c,357711,466520
1453235,+c,463268,357711
1453236,-c,357711,463268
1453237,+c,466520,357711
1453238,-c,357711,466520
1453239,+c,463268,357734
1453240,-c,357734,463268
1453241,+c,466520,357734
1453242,-c,357734,466520
1453243,+c,464661,357734
1453244,-c,357734,464661
1453245,+c,463268,463414
1453246,-c,463414,463268
1453247,+c,409399,463414
1453248,-c,463414,409399
1453249,+c,409483,357733
1453250,-c,357733,409483
1453251,+c,463268,463412
1453252,-c,463412,463268
1453253,+c,463268,357675
1453254,-c,357675,463268
1453255,+c,463268,357677
1453256,-c,357677,463268
1453257,+c,463268,357676
1453258,-c,357676,463268
1453259,+c,463268,357678
1453260,-c,357678,463268
1453261,+c,404364,357678
1453262,-c,357678,404364
1453263,+c,463268,357679
1453264,-c,357679,463268
1453265,+c,463268,463415
1453266,-c,463415,463268
1453267,+c,463268,357708
1453268,-c,357708,463268
1453269,+c,463268,357681
1453270,-c,357681,463268
1453271,+c,408486,357681
1453272,-c,357681,408486
1453273,+c,463268,463411
1453274,-c,463411,463268
1453275,+c,463268,463413
1453276,-c,463413,463268
1453277,+c,466520,463413
1453278,-c,463413,466520
1453279,+c,466521,357719
1453280,-c,357719,466521
1453281,+c,466521,357718
1453282,-c,357718,466521
1453283,+c,466521,357720
1453284,-c,357720,466521
1453285,+c,466521,357725
1453286,-c,357725,466521
1453287,+c,331519,357725
1453288,-c,357725,331519
1453289,+c,466521,357724
1453290,-c,357724,466521
1453291,+c,466521,357723
1453292,-c,357723,466521
1453293,+c,466521,357722
1453294,-c,357722,466521
1453295,+c,466521,357727
1453296,-c,357727,466521
1453297,+c,466521,357726
1453298,-c,357726,466521
1453299,+c,466521,357728
1453300,-c,357728,466521
1453301,+c,409495,357738
1453302,-c,357738,409495
1453303,+c,409493,357736
1453304,-c,357736,409493
1453305,+c,408832,357729
1453306,-c,357729,408832
1453307,+c,463268,357731
1453308,-c,357731,463268
1453309,+c,409399,357731
1453310,-c,357731,409399
1453311,+c,463268,357735
1453312,-c,357735,463268
1453313,+c,463268,357707
1453314,-c,357707,463268
1453315,+c,463268,357709
1453316,-c,357709,463268
1453317,+c,463268,357682
1453318,-c,357682,463268
1453319,+c,463268,357683
1453320,-c,357683,463268
1453321,+c,463268,357693
1453322,-c,357693,463268
1453323,+c,463268,357694
1453324,-c,357694,463268
1453325,+c,463268,357705
1453326,-c,357705,463268
1453327,+c,463268,357706
1453328,-c,357706,463268
1453329,+c,463268,357684
1453330,-c,357684,463268
1453331,+c,463268,357688
1453332,-c,357688,463268
1453333,+c,463268,357692
1453334,-c,357692,463268
1453335,+c,463268,357689
1453336,-c,357689,463268
1453347,+c,463268,357702
1453348,-c,357702,463268
1453349,+c,408660,357702
1453350,-c,357702,408660
1453351,+c,463268,357701
1453352,-c,357701,463268
1453353,+c,408660,357701
1453354,-c,357701,408660
1453355,+c,463268,357695
1453356,-c,357695,463268
1453357,+c,408658,357695
1453358,-c,357695,408658
1453359,+c,463268,357696
1453360,-c,357696,463268
1453361,+c,408658,357696
1453362,-c,357696,408658
1453367,+c,463268,357703
1453368,-c,357703,463268
1453369,+c,378440,357703
1453370,-c,357703,378440
1453371,+c,461239,357698
1453372,-c,357698,461239
1453373,+c,463268,357699
1453374,-c,357699,463268
1453375,+c,318035,357700
1453376,-c,357700,318035
1453377,+c,463268,357704
1453378,-c,357704,463268
1453379,+c,408682,357704
