id,lemma,synset,period,genre,notes
57713,313515,212341,,,
57714,242182,212342,,,
57715,334266,212355,,,
57716,334266,212356,,,
57717,334266,212357,,,
57718,289429,212358,,,
57719,208787,212364,,,
57720,255929,212371,,,
57721,277845,212372,,,
57722,277845,212373,,,
57723,254787,212381,,,
57724,430051,212383,,,
57725,430051,212384,,,
57726,430051,212385,,,
57727,430051,212386,,,
57728,430051,212387,,,
57729,430051,212388,,,
57730,430051,212391,,,
57731,430051,212392,,,
57732,430051,212393,,,
57733,378201,212397,,,
57734,376505,212399,,,
57735,336163,212401,,,
57736,336163,212402,,,
57737,366081,212406,,,
57738,366081,212407,,,
57739,366081,212408,,,
57740,366081,212409,,,
57741,366081,212410,,,
57742,366081,212411,,,
57743,302271,212412,,,
57744,300055,212413,,,
57745,240245,212414,,,
57746,292857,212419,,,
57747,292857,212420,,,
57748,410187,212421,,,
57749,410187,212422,,,
57750,234100,212424,,,
57751,410187,212425,,,
57752,427443,212427,,,
57753,274196,212429,,,
57754,257391,212430,,,
57755,233834,212437,,,
57756,233291,212438,,,
57757,233291,212439,,,
57758,273517,212440,,,
57759,295565,212444,,,
57760,427142,212448,,,
57761,427142,212449,,,
57762,319791,212452,,,
57763,319791,212453,,,
57764,319791,212454,,,
57765,377499,212458,,,
57766,377499,212459,,,
57767,361608,212462,,,
57768,415854,212464,,,
57769,323728,212469,,,
57770,323728,212470,,,
57771,286197,212472,,,
57772,274620,212522,,,
57773,274620,212523,,,
57774,274620,212524,,,
57775,277214,212540,,,
57776,404680,212545,,,
57777,404680,212546,,,
57778,289977,212550,,,
57779,289977,212551,,,
57780,289977,212552,,,
57781,372506,212557,,,
57782,372506,212558,,,
57783,372506,212559,,,
57784,372503,212560,,,
57785,304577,212564,,,
57786,304577,212565,,,
57787,361318,212566,,,
57788,264347,212571,,,
57789,264347,212572,,,
57790,342953,212573,,,
57791,342953,212574,,,
57792,342953,212575,,,
57793,342953,212576,,,
57794,421302,212581,,,
57795,421302,212582,,,
57796,348504,212587,,,
57797,348504,212588,,,
57798,348504,212589,,,
57799,429521,212597,,,
57800,429521,212598,,,
57801,311928,212602,,,
57802,311928,212603,,,
57803,311928,212604,,,
57804,380853,212605,,,
57805,411078,212612,,,
57806,406803,212614,,,
57807,406803,212615,,,
57808,410218,212616,,,
57809,410218,212617,,,
57810,406803,212618,,,
57811,483454,212619,,,
57812,337830,212622,,,
57813,251667,212623,,,
57814,251667,212624,,,
57815,333057,212630,,,
57816,407040,212631,,,
57817,407040,212632,,,
57818,407040,212633,,,
57819,407040,212634,,,
57820,407040,212635,,,
57821,407040,212636,,,
57822,407040,212637,,,
57823,407040,212638,,,
57824,407040,212639,,,
57825,236977,212640,,,
57826,337640,212645,,,
57827,337640,212646,,,
57828,343224,212647,,,
57829,388829,212648,,,
57830,407923,212649,,,
