136797,मीमांसामकरन्द,n,n-----m--a,,,,/miː.mɑː̃.sɑː.mə.kə.ɹən.d̪ə/,मीमांसा॔-मकरन्द,0
302275,133281,मीनगन्धा,n,n-----f--ā,,,,/miː.nə.gən.d̪ʰɑː/,मीन-गन्धा,0
302276,133283,मीनघातिन्,n,n-----m--n,,,,/miː.nə.gʰɑː.t̪in/,मीन-घातिन्,0
302277,133282,मीनगोधिका,n,n-----f--ā,,,,/miː.nə.goː.d̪ʰi.kɑː/,मीन-गोधिका,0
302278,169374,मीनकेतन,n,n-----m--a,,,,/miː.nə.keː.t̪ə.nə/,मीन-केतन,0
302279,136781,मीनकेतु,n,n-----m--u,,,,/miː.nə.keː.t̪u/,मीन-केतु,0
302280,,मीनकेतूदय,n,n-----m--a,,,,/miː.nə.keː.t̪uː.d̪ə.jə/,मीन-केतूदय,0
302281,133295,मीनलाञ्छन,n,n-----m--a,,,,/miː.nə.lɑːɲ.t͡ɕʰə.nə/,मीन-लाञ्छन,0
302282,133291,मीनमत्स्य,n,n-----m--a,,,,/miː.nə.ˈmət̪.sjə/,मीन-मत्स्य,0
302283,133288,मीननयनाष्टक,n,n-----n--a,,,,/miː.nə.nə.jə.nɑːʂ.ʈə.kə/,मीन-नयनाष्टक,0
302284,133290,मीननेत्रा,n,n-----f--ā,,,,/miː.nə.neːt̪.ɹɑː/,मीन-नेत्रा,0
302285,133289,मीननाथ,n,n-----m--a,,,,/miː.nə.nɑː.t̪ʰə/,मीन-नाथ,0
302286,136782,मीनपुच्छ,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=मीनपुच्छ",/miː.nə.ˈput͡ɕ.t͡ɕʰə/,मीन-पुच्छ,0
302287,,मीनपुच्छनिभ,a,ap----a--a,,,,/miː.nə.ˈput͡ɕ.t͡ɕʰə.ni.bʱə/,मीन-पुच्छ-निभ,0
302288,133301,मीनर,n,n-----m--a,,,,/miː.nə.ɹə/,मीनर,0
302289,133294,मीनरथ,n,n-----m--a,,,,/miː.nə.ɹə.t̪ʰə/,मीन-रथ,0
302290,133293,मीनरङ्ग,n,n-----m--a,,,,/miː.nə.ɹəŋ.gə/,मीन-रङ्ग,0
302291,133292,मीनरङ्क,n,n-----m--a,,,,/miː.nə.ɹəŋ.kə/,मीन-रङ्क,0
302292,136783,मीनराज,n,n-----m--a,,,,/miː.nə.ɹɑː.d͡ʑə/,मीन-राज,0
302293,,मीनराजजातक,n,n-----n--a,,,,/miː.nə.ɹɑː.d͡ʑə.d͡ʑɑː.t̪ə.kə/,मीन-राज-जातक,0
302294,133284,मीनता,n,n-----f--ā,,,,/miː.nə.t̪ɑː/,मीन-ता,0
302295,133296,मीनवत्,a,ap----a--c,,,,/miː.nə.ʋət̪/,मीन-वत्,0
302296,215118,मीना,n,n-----f--ā,,,,/miː.nɑː/,मीना,0
302298,,मीनाघातिन्,n,n-----m--n,,,,/miː.nɑː.gʰɑː.t̪in/,मीनाघातिन्,0
302299,136784,मीनाक्ष,a,ap----a--a,,,,/miː.nɑːk.ʂə/,मीनाक्ष,0
302300,136785,मीनाक्ष,n,n-----m--a,,,,/miː.nɑːk.ʂə/,मीनाक्ष,0
302301,,मीनाक्षा,n,n-----f--ā,,,,/miː.nɑːk.ʂɑː/,मीनाक्षा,0
302302,136787,मीनाक्षी,n,n-----f--ī,,,,/miː.nɑːk.ʂiː/,मीनाक्षी,0
302304,,मीनाक्षीचूर्णिका,n,n-----f--ā,,,,/miː.nɑːk.ʂiː.t͡ɕuːɹ.ɳi.kɑː/,मीनाक्षी-चूर्णिका,0
302305,,मीनाक्षीपरिणय,n,n-----m--a,,,,/miː.nɑːk.ʂiː.pə.ɹi.ɳə.jə/,मीनाक्षी-परिणय,0
302306,,मीनाक्षीपञ्चरत्न,n,n-----n--a,,,,/miː.nɑːk.ʂiː.pəɲ.t͡ɕə.ˈɹət̪.nə/,मीनाक्षी-पञ्च-रत्न,0
302307,,मीनाक्षीस्तवराज,n,n-----m--a,,,,/miː.nɑːk.ʂiːs.t̪ə.ʋə.ɹɑː.d͡ʑə/,मीनाक्षी-स्तव-राज,0
302308,,मीनाक्षीस्तोत्र,n,n-----n--a,,,,/miː.nɑːk.ʂiːs.t̪oːt̪.ɹə/,मीनाक्षी-स्तोत्र,0
302309,,मीनाक्षीसुन्दरेश्वर,n,n-----m--a,,,,/miːnɑːkʂiːsund̪əɹeːɕʋəɹə/,मीनाक्षी-सुन्दरेश्वर,0
302310,133300,मीनालय,n,n-----m--a,,,,/miː.nɑː.lə.jə/,मीनालय,0
302311,133302,मीनाम्रीण,n,n-----m--a,,,,/miː.nɑːm.ɹiː.ɳə/,मीनाम्रीण,0
302312,133299,मीनारि,n,n-----m--i,,,,/miː.nɑː.ɹi/,मीनारि,0
302313,133298,मीनाङ्क,n,n-----m--a,,,,/miː.nɑːŋ.kə/,मीनाङ्क,0
