95015,पितरिशूर,n,n-----m--a,,,,/pi.t̪ə.ɹi.ɕuː.ɹə/,पितरि-शूर,0
323586,150803,प्रजवन,a,ap----a--a,,,,/p.ɹə.d͡ʑə.ʋə.nə/,प्र-जवन,0
323587,151305,प्रजविन्,a,ap----a--n,,,,/p.ɹə.d͡ʑə.ʋin/,प्र-जविन्,0
323588,151306,प्रजविन्,n,n-----m--n,,,,/p.ɹə.d͡ʑə.ʋin/,प्र-जविन्,0
323589,150804,प्रजवित,a,ap----a--a,,,,/p.ɹə.d͡ʑə.ʋi.t̪ə/,प्र-जवित,0
323590,150795,प्रजय,n,n-----m--a,,,,/p.ɹə.d͡ʑə.jə/,प्र-जय॔,0
323591,151272,प्रजङ्घ,n,n-----m--a,,,,/p.ɹə.d͡ʑəŋ.gʰə/,प्र-जङ्घ,0
323592,151273,प्रजङ्घा,n,n-----f--ā,,,,/p.ɹə.d͡ʑəŋ.gʰɑː/,प्र-जङ्घा,0
323593,150782,प्रजेहा,n,n-----f--ā,,,,/p.ɹə.d͡ʑeː.ɦɑː/,प्रजेहा,0
323594,150779,प्रजेप्सु,a,ap----a--u,,,,/p.ɹə.d͡ʑeːp.su/,प्रजेप्सु,0
323595,,प्रजेश,n,n-----m--a,,,,/p.ɹə.d͡ʑeː.ɕə/,प्रजेश,0
323596,150781,प्रजेश्वर,n,n-----m--a,,,,/pɹəd͡ʑeːɕʋəɹə/,प्रजेश्वर,0
323597,,प्रजि,v,v----d--1- v----d--9-,,,,/p.ɹə.d͡ʑi/,प्र-जि,0
323598,150799,प्रजिहीर्षु,a,ap----a--u,,,,/p.ɹə.d͡ʑi.ɦiːɹ.ʂu/,प्र-जिहीर्षु,0
323599,,प्रजिजनयिषितव्य,a,ap----a--a,,,,/p.ɹə.d͡ʑi.d͡ʑə.nə.ji.ʂi.ˈt̪əʋ.jə/,प्र-जिजनयिषितव्य^,0
323600,150789,प्रजिजनिषमाण,a,ap----a--a,,,,/p.ɹə.d͡ʑi.d͡ʑə.ni.ʂə.mɑː.ɳə/,प्र-जि॔जनिषमाण,0
323601,150798,प्रजिन,n,n-----m--a,,,,/p.ɹə.d͡ʑi.nə/,प्रजिन,0
323602,,प्रजिन्व्,v,v----a--1- v----d--1-,,,,/p.ɹə.d͡ʑinʋ/,प्र-जिन्व्,0
323603,150796,प्रजित्,a,ap----a--c,,,,/p.ɹə.d͡ʑit̪/,प्र-जित्,0
323604,150797,प्रजित,a,ap----a--a,,,,/p.ɹə.d͡ʑi.t̪ə/,प्रजित,0
323605,150806,प्रज्जटिका,n,n-----f--ā,,,,/p.ˈɹəd͡ʑ.d͡ʑə.ʈi.kɑː/,प्रज्जटिका,0
323606,150807,प्रज्जि,n,n-----m--i,,,,/p.ˈɹəd͡ʑ.d͡ʑi/,प्रज्जि,0
323607,,प्रजोत्पत्ति,n,n-----f--i,,,,/p.ɹə.d͡ʑoːt̪.ˈpət̪.t̪i/,प्रजोत्पत्ति,0
323608,,प्रजोत्पत्त्यानुपूर्व्येण,r,rp--------,,,,/p.ɹə.d͡ʑoːt̪.ˈpət̪.t̪jɑː.nu.puːɹ.ʋjeː.ɳə/,प्रजोत्पत्त्य्-आनुपूर्व्येण,0
323609,,प्रजोत्पादन,n,n-----n--a,,,,/p.ɹə.d͡ʑoːt̪.pɑː.d̪ə.nə/,प्रजोत्पादन,0
323610,,प्रजुष्ट,a,ap----a--a,,,,/p.ɹə.ˈd͡ʑuʂ.ʈə/,प्र-जुष्ट,0
323611,,प्रज्वल्,v,v----a--1- v----d--1-,,,,/p.ˈɹəd͡ʑ.ʋəl/,प्र-ज्वल्,0
323612,150846,प्रज्वलन,n,n-----n--a,,,,/p.ˈɹəd͡ʑ.ʋə.lə.nə/,प्र-ज्वलन,0
323613,150847,प्रज्वलनीय,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ʋə.lə.niː.jə/,प्र-ज्वलनीय,0
323614,151322,प्रज्वलित,n,n-----n--a,,,,/p.ˈɹəd͡ʑ.ʋə.li.t̪ə/,प्र-ज्वलित,0
323615,,प्रज्वलित,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ʋə.li.t̪ə/,प्र-ज्वलित,0
323616,150848,प्रज्वालन,n,n-----n--a,,,,/p.ˈɹəd͡ʑ.ʋɑː.lə.nə/,प्र-ज्वालन,0
323617,150850,प्रज्वालित,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ʋɑː.li.t̪ə/,प्र-ज्वालित,0
323618,150849,प्रज्वाला,n,n-----f--ā,,,,/p.ˈɹəd͡ʑ.ʋɑː.lɑː/,प्र-ज्वाला,0
323619,150851,प्रज्वार,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ʋɑː.ɹə/,प्र-ज्वार,0
323620,151307,प्रज्ञ,a,ap----a--a,,ap----f--ā=>ा,,/p.ˈɹəd͡ʑ.ɲə/,प्र-ज्ञ,0
323622,150810,प्रज्ञप्त,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ˈɲəp.t̪ə/,प्र-ज्ञप्त,0
323623,151308,प्रज्ञप्ति,n,n-----f--i,,,,/p.ˈɹəd͡ʑ.ˈɲəp.t̪i/,प्र-ज्ञप्ति,0
323624,219746,प्रज्ञप्तिकौशिक,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ˈɲəp.t̪i.kə.ौɕi.kə/,प्र-ज्ञप्ति-कौशिक,0
323625,,प्रज्ञप्तिवादिन्,n,n-----m--n,,,,/p.ˈɹəd͡ʑ.ˈɲəp.t̪i.ʋɑː.d̪in/,प्र-ज्ञप्ति-वादिन्,0
323626,,प्रज्ञप्तिशास्त्र,n,n-----n--a,,,,/p.ˈɹəd͡ʑ.ˈɲəp.t̪i.ɕɑːs.t̪ɹə/,प्र-ज्ञप्ति-शास्त्र,0
323627,,प्रज्ञता,n,n-----f--ā,,,,/p.ˈɹəd͡ʑ.ɲə.t̪ɑː/,प्र-ज्ञ-ता,0
323628,,प्रज्ञिल,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ɲi.lə/,प्रज्ञिल,0
323629,,प्रज्ञिन्,a,ap----a--n,,,,/p.ˈɹəd͡ʑ.ɲin/,प्रज्ञिन्,0
323630,150845,प्रज्ञु,a,ap----a--u,,,,/p.ˈɹəd͡ʑ.ɲu/,प्र-ज्ञु,0
323631,150817,प्रज्ञा,n,n-----f--ā,,,,/p.ˈɹəd͡ʑ.ɲɑː/,प्र-ज्ञा,0
323632,,प्रज्ञा,v,v----a--9- v----d--9- v----d--3- v----a--3-,,,,/p.ˈɹəd͡ʑ.ɲɑː/,प्र-ज्ञा,0
323633,150817,प्रज्ञा,n,n-----f--ā,,,,/p.ˈɹəd͡ʑ.ɲɑː/,प्र-ज्ञा॔,0
323634,150830,प्रज्ञाभद्र,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.ˈbʱəd̪.ɹə/,प्र-ज्ञा॔-भद्र,0
323635,,प्रज्ञाचक्षुस्,a,ap----a-su,,,,/p.ˈɹəd͡ʑ.ɲɑː.ˈt͡ɕək.ʂus/,प्र-ज्ञा॔-चक्षुस्,0
323637,151314,प्रज्ञाचक्षुस्,n,n-----n-su,,,,/p.ˈɹəd͡ʑ.ɲɑː.ˈt͡ɕək.ʂus/,प्र-ज्ञा॔-चक्षुस्,0
323638,151316,प्रज्ञाचक्षुस्,n,n-----m-su,,,,/p.ˈɹəd͡ʑ.ɲɑː.ˈt͡ɕək.ʂus/,प्र-ज्ञा॔-चक्षुस्,0
323639,150824,प्रज्ञाचन्द्र,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.t͡ɕən.d̪ɹə/,प्र-ज्ञा॔-चन्द्र,0
323640,150826,प्रज्ञादेव,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.d̪eː.ʋə/,प्र-ज्ञा॔-देव,0
323641,151318,प्रज्ञादित्य,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.ˈd̪it̪.jə/,प्र-ज्ञा॔दित्य,0
323642,150823,प्रज्ञाघन,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.gʰə.nə/,प्र-ज्ञा॔-घन,0
323643,150822,प्रज्ञागुप्त,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.ˈgup.t̪ə/,प्र-ज्ञा॔-गुप्त,0
323644,,प्रज्ञाहीन,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.ɦiː.nə/,प्र-ज्ञा॔-हीन,0
323645,150818,प्रज्ञाकर,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.kə.ɹə/,प्र-ज्ञा॔-कर,0
323646,150821,प्रज्ञाकोश,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.koː.ɕə/,प्र-ज्ञा॔-कोश,0
323647,150819,प्रज्ञाकाय,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.kɑː.jə/,प्र-ज्ञा॔-काय,0
323648,150820,प्रज्ञाकूट,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.kuː.ʈə/,प्र-ज्ञा॔-कूट,0
323649,150842,प्रज्ञाल,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.lə/,प्रज्ञाल,0
323650,,प्रज्ञामय,a,ap----a--a,,ap----f--ī=>ी,,/p.ˈɹəd͡ʑ.ɲɑː.mə.jə/,प्र-ज्ञा॔-मय,0
323651,150832,प्रज्ञामात्रा,n,n-----f--ā,,,,/p.ˈɹəd͡ʑ.ɲɑː.mɑːt̪.ɹɑː/,प्र-ज्ञा॔-मात्रा,0
324501,,प्रमेय,a,ap----a--a,,,,/p.ɹə.meː.jə/,प्र-मेय,0
323652,151311,प्रज्ञान,n,n-----n--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.nə/,प्र-ज्ञा॔न,0
323655,151310,प्रज्ञान,a,ap----a--a,,ap----f--ī=>ी,,/p.ˈɹəd͡ʑ.ɲɑː.nə/,प्र-ज्ञा॔न,0
323656,,प्रज्ञानघन,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.nə.gʰə.nə/,प्र-ज्ञा॔न-घन॔,0
323657,,प्रज्ञानकुमुदचन्द्रिका,n,n-----f--ā,,,,/p.ˈɹəd͡ʑ.ɲɑː.nə.ku.mu.d̪ə.t͡ɕən.d̪ɹi.kɑː/,प्र-ज्ञा॔न-कुमुद-चन्द्रिका,0
323658,,प्रज्ञानसंतति,n,n-----f--i,,,,/p.ˈɹəd͡ʑ.ɲɑː.nə.sən.t̪ə.t̪i/,प्र-ज्ञा॔न-संतति,0
323659,,प्रज्ञानतृप्त,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.nə.ˈt̪ɹ̩p.t̪ə/,प्र-ज्ञा॔न-तृप्त,0
323660,,प्रज्ञानेन्द्र,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.neːn.d̪ɹə/,प्र-ज्ञा॔नेन्द्र,0
323661,151319,प्रज्ञान्तक,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑːn.t̪ə.kə/,प्र-ज्ञा॔न्तक,0
323662,,प्रज्ञानानन्द,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.nɑː.nən.d̪ə/,प्र-ज्ञा॔नानन्द,0
323663,,प्रज्ञानाश्रम,n,n-----m--a,,,,/pɹəd͡ʑɲɑːnɑːɕɹəmə/,प्र-ज्ञा॔नाश्रम,0
323664,151313,प्रज्ञापन,n,n-----n--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.pə.nə/,प्र-ज्ञापन,0
323665,,प्रज्ञापनप्रदेशव्याख्या,n,n-----f--ā,,,,/p.ˈɹəd͡ʑ.ɲɑː.pə.ˈnəp.ɹə.d̪eː.ˈɕəʋ.jɑːkʰ.jɑː/,प्र-ज्ञापन-प्रदेश-व्याख्या,0
323666,,प्रज्ञापनोपाङ्ग,n,n-----n--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.pə.noː.pɑːŋ.gə/,प्र-ज्ञापनोपाङ्ग,0
323667,,प्रज्ञापनीय,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.pə.niː.jə/,प्र-ज्ञापनीय,0
323668,,प्रज्ञापयितव्य,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.pə.ji.ˈt̪əʋ.jə/,प्र-ज्ञापयितव्य,0
323669,,प्रज्ञापेत,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.peː.t̪ə/,प्र-ज्ञा॔पेत,0
323670,,प्रज्ञापित,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.pi.t̪ə/,प्र-ज्ञापित,0
323671,150828,प्रज्ञाप्रकाश,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑːp.ɹə.kɑː.ɕə/,प्र-ज्ञा॔-प्रकाश,0
323672,150829,प्रज्ञाप्रतिभासित,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑːp.ɹə.t̪i.bʱɑː.si.t̪ə/,प्र-ज्ञा॔-प्रतिभासित,0
323673,151320,प्रज्ञापारमिता,n,n-----f--ā,,,,/p.ˈɹəd͡ʑ.ɲɑː.pɑː.ɹə.mi.t̪ɑː/,प्र-ज्ञा॔-पारमिता,0
323674,,प्रज्ञापारमितासूत्र,n,n-----n--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.pɑː.ɹə.mi.t̪ɑː.suːt̪.ɹə/,प्र-ज्ञा॔-पारमिता-सूत्र,0
323675,150838,प्रज्ञासहाय,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.sə.ɦɑː.jə/,प्र-ज्ञा॔-सहाय,0
323676,150839,प्रज्ञासागर,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.sɑː.gə.ɹə/,प्र-ज्ञा॔-सागर,0
323677,150840,प्रज्ञासूक्तमुक्तावली,n,n-----f--ī,,,,/p.ˈɹəd͡ʑ.ɲɑː.suːk.t̪ə.ˈmuk.t̪ɑː.ʋə.liː/,प्र-ज्ञा॔-सूक्त-मुक्तावली,0
323678,,प्रज्ञात,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.t̪ə/,प्र-ज्ञात,0
323679,,प्रज्ञातव्य,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.ˈt̪əʋ.jə/,प्र-ज्ञातव्य,0
323680,151309,प्रज्ञाति,n,n-----f--i,,,,/p.ˈɹəd͡ʑ.ɲɑː.t̪i/,प्र-ज्ञाति,0
323681,,प्रज्ञात्मन्,a,ap----a--n,,,,/p.ˈɹəd͡ʑ.ɲɑːt̪.mən/,प्र-ज्ञा॔त्मन्,0
323682,,प्रज्ञाताग्र,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.t̪ɑːg.ɹə/,प्रज्ञाताग्र,0
323683,,प्रज्ञातृ,n,n-----m--r,,,,/p.ˈɹəd͡ʑ.ɲɑː.t̪ɹ̩/,प्र-ज्ञातृ॔,0
323684,150834,प्रज्ञावर्धनस्तोत्र,n,n-----n--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.ˈʋəɹ.d̪ʰə.ˈnəs.t̪oːt̪.ɹə/,प्र-ज्ञा॔-वर्धन-स्तोत्र,0
323685,150835,प्रज्ञावर्मन्,n,n-----m--n,,,,/p.ˈɹəd͡ʑ.ɲɑː.ˈʋəɹ.mən/,प्र-ज्ञा॔-वर्मन्,0
323686,150833,प्रज्ञावत्,a,ap----a--c,,,,/p.ˈɹəd͡ʑ.ɲɑː.ʋət̪/,प्र-ज्ञा॔-वत्,0
323687,,प्रज्ञावाद,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.ʋɑː.d̪ə/,प्र-ज्ञा॔-वाद,0
323688,150837,प्रज्ञावृद्ध,a,ap----a--a,,,,/p.ˈɹəd͡ʑ.ɲɑː.ˈʋɹ̩d̪.d̪ʰə/,प्र-ज्ञा॔-वृद्ध,0
323689,151317,प्रज्ञाढ्य,n,n-----m--a,,,,/p.ˈɹəd͡ʑ.ɲɑːɖʰ.jə/,प्र-ज्ञा॔ढ्य,0
323690,150748,प्रजा,n,n-----f--ā,,,n-----f--ā=प्रजाआ,/p.ɹə.d͡ʑɑː/,प्रजा॔,0
323691,150748,प्रजा,n,n-----f--ā,,,,/p.ɹə.d͡ʑɑː/,प्र-जा,0
323692,150753,प्रजाचन्द्र,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.t͡ɕən.d̪ɹə/,प्रजा॔-चन्द्र,0
323693,,प्रजाधर,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.d̪ʰə.ɹə/,प्रजा॔-धर,0
323694,151286,प्रजाध्यक्ष,n,n-----m--a,,,,/p.ɹə.d͡ʑɑːd̪ʰ.ˈjək.ʂə/,प्रजाध्यक्ष,0
323695,150758,प्रजाद्वार,n,n-----n--a,,,,/p.ɹə.d͡ʑɑːd̪.ʋɑː.ɹə/,प्रजा॔-द्वार,0
323696,150756,प्रजादा,n,n-----f--ā,,,,/p.ɹə.d͡ʑɑː.d̪ɑː/,प्रजा॔-दा,0
323697,150757,प्रजादान,n,n-----n--a,,,,/p.ɹə.d͡ʑɑː.d̪ɑː.nə/,प्रजा॔-दान,0
323698,151300,प्रजागर,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.gə.ɹə/,प्र-जागर,0
323701,151301,प्रजागर,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.gə.ɹə/,प्र-जागर,0
323703,150793,प्रजागरण,n,n-----n--a,,,,/p.ɹə.d͡ʑɑː.gə.ɹə.ɳə/,प्र-जागरण,0
323704,151302,प्रजागरा,n,n-----f--ā,,,,/p.ɹə.d͡ʑɑː.gə.ɹɑː/,प्र-जागरा,0
323705,150794,प्रजागरूक,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.gə.ɹuː.kə/,प्र-जागरूक,0
323706,150752,प्रजागुप्ति,n,n-----f--i,,,,/p.ɹə.d͡ʑɑː.ˈgup.t̪i/,प्रजा॔-गुप्ति,0
323707,,प्रजागृ,v,v----a--2- v----d--1-,,,,/p.ɹə.d͡ʑɑː.gɹ̩/,प्र-जागृ,0
323708,,प्रजाहन्,a,ap----a--n,,ap----f--ī=>घ्नी,,/p.ɹə.d͡ʑɑː.ɦən/,प्रजा॔-हन्,0
323709,151297,प्रजाहित,n,n-----n--a,,,,/p.ɹə.d͡ʑɑː.ɦi.t̪ə/,प्रजा॔-हित,0
323710,,प्रजाहित,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.ɦi.t̪ə/,प्रजा॔-हित,0
323711,150750,प्रजाकल्प,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.ˈkəl.pə/,प्रजा॔-कल्प,0
323712,150749,प्रजाकर,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.kə.ɹə/,प्रजा॔-कर,0
323713,,प्रजाकाम,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.kɑː.mə/,प्रजा॔-काम,0
323714,,प्रजाकाम,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.kɑː.mə/,प्रजा॔-काम,0
323715,150751,प्रजाकार,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.kɑː.ɹə/,प्रजा॔-कार,0
323716,,प्रजामृतत्व,n,n-----n--a,,,,/p.ɹə.d͡ʑɑː.mɹ̩.ˈt̪ət̪.ʋə/,प्रजामृतत्व,0
323717,150786,प्रजानि,n,n-----m--i,,,,/p.ɹə.d͡ʑɑː.ni/,प्र-जानि,0
323718,150761,प्रजानिषेक,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.ni.ʂeː.kə/,प्रजा॔-निषेक,0
323719,151287,प्रजान्तक,n,n-----m--a,,,,/p.ɹə.d͡ʑɑːn.t̪ə.kə/,प्रजा॔न्तक,0
323720,,प्रजानुक,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.nu.kə/,प्र-जानुक,0
323721,150785,प्रजाना,n,n-----f--ā,,,,/p.ɹə.d͡ʑɑː.nɑː/,प्र-जाना,0
323722,150760,प्रजानाथ,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.nɑː.t̪ʰə/,प्रजा॔-नाथ,0
323723,151289,प्रजाप,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.pə/,प्रजा॔-प,0
323724,151288,प्रजाप,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.pə/,प्र-जाप,0
323725,151288,प्रजाप,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.pə/,प्रजा॔-प,0
323726,150763,प्रजापद्धति,n,n-----f--i,,,,/p.ɹə.d͡ʑɑː.ˈpəd̪.d̪ʰə.t̪i/,प्रजा॔-पद्धति,0
323727,,प्रजापरिपालन,n,n-----n--a,,,,/p.ɹə.d͡ʑɑː.pə.ɹi.pɑː.lə.nə/,प्रजा॔-परिपालन,0
323728,151290,प्रजापति,n,n-----m--i,,,,/p.ɹə.d͡ʑɑː.pə.t̪i/,प्रजा॔-पति,0
323729,,प्रजापतिभक्षित,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.ˈbʱək.ʂi.t̪ə/,प्रजा॔-पति-भक्षित,0
323730,,प्रजापतिचरित,n,n-----n--a,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.t͡ɕə.ɹi.t̪ə/,प्रजा॔-पति-चरित,0
323731,,प्रजापतिचित,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.t͡ɕi.t̪ə/,प्रजा॔-पति-चित,0
323732,,प्रजापतिचिति,n,n-----f--i,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.t͡ɕi.t̪i/,प्रजा॔-पति-चिति॔,0
323733,,प्रजापतिदत्त,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.ˈd̪ət̪.t̪ə/,प्रजा॔-पति-दत्त,0
323734,,प्रजापतिगृहीत,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.gɹ̩.ɦiː.t̪ə/,प्रजा॔-पति-गृहीत,0
323735,,प्रजापतिहृदय,n,n-----n--a,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.ɦɹ̩.d̪ə.jə/,प्रजा॔-पति-हृदय,0
323736,150762,प्रजापतिक,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.kə/,प्रजा॔-पतिक,0
323737,,प्रजापतिलोक,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.loː.kə/,प्रजा॔-पति-लोक॔,0
323738,,प्रजापतिमुख,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.mu.kʰə/,प्रजा॔-पति-मुख,0
323739,,प्रजापतिमात्र,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.mɑːt̪.ɹə/,प्रजा॔-पति-मात्र,0
323740,,प्रजापतिनिवासिनी,n,n-----f--ī,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.ni.ʋɑː.si.niː/,प्रजा॔-पति-निवासिनी,0
323741,,प्रजापतिपति,n,n-----m--i,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.pə.t̪i/,प्रजा॔-पति-पति,0
323742,,प्रजापतिस्मृति,n,n-----f--i,,,,/p.ɹə.d͡ʑɑː.pə.ˈt̪is.mɹ̩.t̪i/,प्रजा॔-पति-स्मृति,0
323743,,प्रजापतिसृष्ट,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.ˈsɹ̩ʂ.ʈə/,प्रजा॔-पति-सृष्ट,0
323744,,प्रजापतियज्ञ,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.ˈjəd͡ʑ.ɲə/,प्रजा॔-पति-यज्ञ,0
323745,,प्रजापतिशर्मन्,n,n-----m--n,,,,/p.ɹə.d͡ʑɑː.pə.t̪i.ˈɕəɹ.mən/,प्रजा॔-पति-शर्मन्,0
323746,151291,प्रजापती,n,n-----f--ī,,,,/p.ɹə.d͡ʑɑː.pə.t̪iː/,प्रजा॔-पती,0
323748,,प्रजापयितृ,n,n-----m--r,,,,/p.ɹə.d͡ʑɑː.pə.ji.t̪ɹ̩/,प्रजापयितृ॔,0
323749,150765,प्रजापाल,n,n-----m--a,,,,/p.ɹə.d͡ʑɑː.pɑː.lə/,प्रजा॔-पाल,0
323750,150766,प्रजापालन,n,n-----n--a,,,,/p.ɹə.d͡ʑɑː.pɑː.lə.nə/,प्रजा॔-पालन,0
323751,150767,प्रजापालि,n,n-----m--i,,,,/p.ɹə.d͡ʑɑː.pɑː.li/,प्रजा॔-पालि,0
323752,150768,प्रजापाल्य,n,n-----n--a,,,,/p.ɹə.d͡ʑɑː.pɑːl.jə/,प्रजा॔-पाल्य,0
323753,,प्रजार्थम्,r,rp--------,,,,/p.ɹə.d͡ʑɑːɹ.t̪ʰəm/,प्रजार्थम्,0
323754,150770,प्रजार्थे,r,rp--------,,,,/p.ɹə.d͡ʑɑːɹ.t̪ʰeː/,प्रजार्थे,0
323755,,प्रजासनि,a,ap----a--i,,,,/p.ɹə.d͡ʑɑː.sə.ni/,प्रजा॔-स॔नि,0
323756,150778,प्रजासृज्,n,n-----m--c,,,,/p.ɹə.d͡ʑɑː.sɹ̩d͡ʑ/,प्रजा॔-सृज्,0
323757,,प्रजात,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.t̪ə/,प्र-जात,0
323758,,प्रजातन्तु,n,n-----m--u,,,,/p.ɹə.d͡ʑɑː.t̪ən.t̪u/,प्रजा॔-तन्तु,0
323759,151282,प्रजाति,n,n-----f--i,,,,/p.ɹə.d͡ʑɑː.t̪i/,प्र-जाति,0
333356,144712,पुष,a,ap----a--a,,,,/pu.ʂə/,पुष,0
323761,,प्रजातिकाम,a,ap----a--a,,,,/p.ɹə.d͡ʑɑː.t̪i.kɑː.mə/,प्र-जाति-काम,0
323762,221668,प्रजातिमत्,a,ap----a--c,,,,/p.ɹə.d͡ʑɑː.t̪i.mət̪/,प्र-जाति-मत्,0
323763,,प्रजात्यानन्द,n,n-----m--a,,,,/p.ɹə.d͡ʑɑːt̪.jɑː.nən.d̪ə/,प्र-जात्य्-आनन्द,0
323764,151281,प्रजाता,n,n-----f--ā,,,,/p.ɹə.d͡ʑɑː.t̪ɑː/,प्र-जाता,0
323765,,प्रजातीर्थ,n,n-----n--a,,,,/p.ɹə.d͡ʑɑː.t̪iːɹ.t̪ʰə/,प्रजा॔-तीर्थ,0
323766,,प्रजावरी,n,n-----f--ī,,,,/p.ɹə.d͡ʑɑː.ʋə.ɹiː/,प्रजा॔-वरी,0
323767,151293,प्रजावत्,a,ap----a--c,,,,/p.ɹə.d͡ʑɑː.ʋət̪/,प्रजा॔-वत्,0
323769,,प्रजावत्,n,n-----m--c,,,,/p.ɹə.d͡ʑɑː.ʋət̪/,प्रजा॔-वत्,0
323774,151295,प्रजावती,n,n-----f--ī,,,,/p.ɹə.d͡ʑɑː.ʋə.t̪iː/,प्रजा॔-वती,0
323777,150772,प्रजाविद्,a,ap----a--c,,,,/p.ɹə.d͡ʑɑː.ʋid̪/,प्रजा॔-वि॔द्,0
323778,150774,प्रजाव्यापार,n,n-----m--a,,,,/p.ɹə.d͡ʑɑːʋ.jɑː.pɑː.ɹə/,प्रजा॔-व्यापार,0
