,229493,,,
89787,272730,230888,,,
89788,275385,155245,,,
89789,377871,155245,,,
89790,211280,155245,,,
89791,265320,229588,,,
89792,478224,153407,,,
89793,428661,153407,,,
89794,256245,229551,,,
89795,405429,153628,,,
89796,252596,154990,,,
89797,419431,212216,,,
89798,280110,155173,,,
89799,280110,215357,,,
89800,280113,166374,,,
89801,280113,229783,,,
89802,496091,155173,,,
89803,496091,218256,,,
89804,299908,155173,,,
89805,299907,218256,,,
89806,241146,212928,,,
89807,380174,212928,,,
89808,378285,155153,,,
89809,272976,155153,,,
89810,272976,147261,,,
89811,272976,150707,,,
89812,272976,147832,,,
89813,419256,145721,,,
89814,392537,155153,,,
89815,392537,119587,,,
89816,392537,155100,,,
89817,392537,155097,,,
89818,375513,142944,,,
89819,375513,155153,,,
89820,375513,123590,,,
89821,380814,177048,,,
89822,380814,175009,,,
89823,380814,175766,,,
89824,380814,177572,,,
89825,380814,181162,,,
89826,380814,227515,,,
89827,316865,129972,,,
89828,244360,161633,,,
89829,244360,161665,,,
89830,244360,106676,,,
89831,283512,166595,,,
89832,283511,232889,,,
89833,283511,213635,,,
89834,283511,214623,,,
89835,333340,215145,,,
89836,333340,215144,,,
89837,406583,212288,,,
89838,406584,230961,,,
89839,385649,212289,,,
89840,304486,212343,,,
89841,304486,212289,,,
89842,358235,212289,,,
89843,212229,212289,,,
89844,290056,212289,,,
89845,426143,215295,,,
89846,242182,154990,,,
89847,242182,140533,,,
89848,318696,124384,,,
89849,318696,104242,,,
89850,318696,145714,,,
89851,318702,193518,,,
89852,318702,183827,,,
89853,318702,199050,,,
89854,318697,158591,,,
89855,318697,145714,,,
89856,246089,166826,,,
89857,246087,183652,,,
89858,232760,214643,,,
89859,420601,154922,,,
89860,256948,139586,,,
89861,409679,139588,,,
89862,409679,139586,,,
89863,409679,142753,,,
89864,379879,157187,,,
89865,311158,139415,,,
89866,311158,157187,,,
89867,259383,139402,,,
89868,276173,139402,,,
89869,381226,163838,,,
89870,381226,165653,,,
89871,381226,137911,,,
89872,381226,105579,,,
89873,381226,165139,,,
89874,276305,218231,,,
89875,276305,157220,,,
89876,303115,112948,,,
89877,319527,112948,,,
89878,261726,112948,,,
89879,261726,145714,,,
89880,275016,112948,,,
89881,478227,112948,,,
89882,478228,112948,,,
89883,303176,112948,,,
89884,319136,112951,,,
89885,319136,230572,,,
89886,239822,112951,,,
89887,302959,112951,,,
89888,250934,112951,,,
89889,250934,212286,,,
89890,250934,112943,,,
89891,402773,112951,,,
89892,402773,147222,,,
89893,402773,149484,,,
89894,374744,112876,,,
89895,322337,114463,,,
89896,277225,114463,,,
89897,277486,114463,,,
89898,361377,114463,,,
89899,232362,114463,,,
89900,322217,114971,,,
89901,322217,212236,,,
89902,322217,110284,,,
89903,322217,226881,,,
89904,426450,114971,,,
89905,426450,114218,,,
89906,388396,114971,,,
89907,388691,150281,,,
89908,388691,114971,,,
89909,388691,114900,,,
89910,228833,213698,,,
89911,228833,112964,,,
89912,256185,114438,,,
89913,283224,114526,,,
89914,346118,114526,,,
89915,232690,112864,,,
89916,257771,112864,,,
89917,302957,112864,,,
89918,428715,112864,,,
89919,391043,112864,,,
89920,278581,234014,,,
89921,278581,226312,,,
89922,320968,112864,,,
89923,320964,112864,,,
89924,266801,112864,,,
89925,313079,112901,,,
89926,233584,112901,,,
89927,425968,114167,,,
89928,425968,215859,,,
89929,417935,225478,,,
89930,417935,234490,,,
89931,277642,112858,,,
89932,277642,111241,,,
89933,416591,112858,,,
89934,407040,112858,,,
89935,270119,116585,,,
89936,240948,146491,,,
89937,240952,227744,,,
89938,285445,156882,,,
89939,342158,112680,,,
89940,429975,232887,,,
89941,276144,148016,,,
89942,382032,114077,,,
89943,302758,114077,,,
89944,302758,230057,,,
89945,302758,229809,,,
89946,302758,118448,,,
89947,302758,114074,,,
89948,412860,114074,,,
89949,412860,114077,,,
89950,302772,118448,,,
89951,302772,114074,,,
89952,351111,110559,,,
89953,284439,110559,,,
89954,284439,110450,,,
89955,260405,211685,,,
89956,374363,110948,,,
89957,374363,151371,,,
89958,429291,110948,,,
89959,295906,110948,,,
89960,467207,113763,,,
89961,467207,212216,,,
89962,407557,110938,,,
89963,407557,143029,,,
89964,407557,229492,,,
89965,407557,214785,,,
89966,211052,113375,,,
89967,248315,110938,,,
89968,335083,228966,,,
89969,335083,166268,,,
89970,272046,111175,,,
89971,272046,228966,,,
89972,272046,226300,,,
89973,272046,111174,,,
89974,272046,109559,,,
89975,381964,110183,,,
89976,381964,213369,,,
89977,405943,110183,,,
