,+c,464661,226867
1385092,-c,229127,456820
1385093,+c,341319,229127
1385094,-c,229127,341319
1385095,+c,456820,229128
1385096,-c,229128,456820
1385097,+c,456820,229114
1385098,-c,229114,456820
1385099,+c,456820,229115
1385100,-c,229115,456820
1385101,+c,456820,229146
1385102,-c,229146,456820
1385103,+c,403674,229146
1385104,-c,229146,403674
1385105,+c,456820,229145
1385106,-c,229145,456820
1385107,+c,456820,229144
1385108,-c,229144,456820
1385109,+c,456820,229148
1385110,-c,229148,456820
1385111,+c,420000,229148
1385112,-c,229148,420000
1385113,+c,456820,229147
1385114,-c,229147,456820
1385115,+c,456820,229151
1385116,-c,229151,456820
1385117,+c,427633,229151
1385118,-c,229151,427633
1385119,+c,456820,229150
1385120,-c,229150,456820
1385121,+c,427633,229150
1385122,-c,229150,427633
1385123,+c,456820,229149
1385124,-c,229149,456820
1385125,+c,272156,229149
1385126,-c,229149,272156
1385127,+c,456820,229134
1385128,-c,229134,456820
1385129,+c,456820,229139
1385130,-c,229139,456820
1385131,+c,456820,229140
1385132,-c,229140,456820
1385133,+c,456820,229136
1385134,-c,229136,456820
1385135,+c,359977,229136
1385136,-c,229136,359977
1385137,+c,456820,229137
1385138,-c,229137,456820
1385139,+c,359977,229137
1385140,-c,229137,359977
1385141,+c,458770,229121
1385142,-c,229121,458770
1385143,+c,456820,456822
1385144,-c,456822,456820
1385145,+c,456823,229176
1385146,-c,229176,456823
1385147,+c,456823,229177
1385148,-c,229177,456823
1385149,+c,456823,229178
1385150,-c,229178,456823
1385151,+c,284630,229178
1385152,-c,229178,284630
1385153,+c,456823,229173
1385154,-c,229173,456823
1385155,+c,456958,229173
1385156,-c,229173,456958
1385157,+c,456823,229174
1385158,-c,229174,456823
1385159,+c,456823,229175
1385160,-c,229175,456823
1385161,+c,340330,231472
1385162,-c,231472,340330
1385163,+c,231040,231808
1385164,-c,231808,231040
1385165,+c,388445,231740
1385166,-c,231740,388445
1385167,+c,459068,231598
1385168,-c,231598,459068
1385169,+c,272156,231343
1385170,-c,231343,272156
1385171,+c,378440,231371
1385172,-c,231371,378440
1385173,+c,242445,231336
1385174,-c,231336,242445
1385175,+c,457762,231339
1385176,-c,231339,457762
1385177,+c,233204,231332
1385178,-c,231332,233204
1385179,+c,460503,231347
1385180,-c,231347,460503
1385181,+c,460503,231349
1385182,-c,231349,460503
1385195,+c,460504,231354
1385196,-c,231354,460504
1385197,+c,288863,231354
1385198,-c,231354,288863
1385199,+c,460504,231355
1385200,-c,231355,460504
1385203,+c,339572,231369
1385204,-c,231369,339572
1385205,+c,388445,231372
1385206,-c,231372,388445
1385207,+c,389508,231373
1385208,-c,231373,389508
1385209,+c,272156,456936
1385210,-c,456936,272156
1385211,+c,463222,231222
1385212,-c,231222,463222
1385213,+c,464661,231253
1385214,-c,231253,464661
1385215,+c,269372,231077
1385216,-c,231077,269372
1385217,+c,269372,231078
1385218,-c,231078,269372
1385219,+c,336178,231089
1385220,-c,231089,336178
1385221,+c,407487,231158
1385222,-c,231158,407487
1385223,+c,407487,231159
1385224,-c,231159,407487
1385225,+c,264307,231076
1385226,-c,231076,264307
1385227,+c,269372,231203
1385228,-c,231203,269372
1385229,+c,269372,231205
1385230,-c,231205,269372
1385231,+c,456933,456934
1385232,-c,456934,456933
1385233,+c,456933,231142
1385234,-c,231142,456933
1385235,+c,456933,231152
1385236,-c,231152,456933
1385237,+c,456933,231156
1385238,-c,231156,456933
1385239,+c,398444,231156
1385240,-c,231156,398444
1385241,+c,398437,231153
1385242,-c,231153,398437
1385243,+c,456933,231154
1385244,-c,231154,456933
1385245,+c,456933,231155
1385246,-c,231155,456933
1385247,+c,273616,231097
1385248,-c,231097,273616
1385249,+c,236838,231094
1385250,-c,231094,236838
1385251,+c,251969,231136
1385252,-c,231136,251969
1385253,+c,461116,231139
1385254,-c,231139,461116
1385255,+c,462310,231104
1385256,-c,231104,462310
1385257,+c,462310,231110
1385258,-c,231110,462310
1385259,+c,461536,231110
1385260,-c,231110,461536
1385261,+c,462310,231120
1385262,-c,231120,462310
1385263,+c,462310,231113
1385264,-c,231113,462310
1385265,+c,462310,231115
1385266,-c,231115,462310
1385267,+c,430970,231115
1385268,-c,231115,430970
1385269,+c,462310,231114
1385270,-c,231114,462310
1385271,+c,462310,231116
1385272,-c,231116,462310
1385273,+c,462310,231105
1385274,-c,231105,462310
1385275,+c,462310,231109
1385276,-c,231109,462310
1385277,+c,462310,231106
1385278,-c,231106,462310
1385279,+c,462310,231107
1385280,-c,231107,462310
1385281,+c,462310,231108
1385282,-c,231108,462310
1385283,+c,462310,231112
1385284,-c,231112,462310
1385285,+c,462310,231111
1385286,-c,231111,462310
1385287,+c,462310,231118
1385288,-c,231118,462310
1385289,+c,462310,231119
1385290,-c,231119,462310
1385291,+c,462310,231117
1385292,-c,231117,462310
1385293,+c,400616,231117
1385294,-c,231117,400616
1385295,+c,420548,231117
1385296,-c,231117,420548
1385297,+c,430970,231121
1385298,-c,231121,430970
1385299,+c,300505,231101
1385300,-c,231101,300505
1385301,+c,461239,231124
1385302,-c,231124,461239
1385303,+c,231144,231145
1385304,-c,231145,231144
1385305,+c,231147,231148
1385306,-c,231148,231147
1385307,+c,460504,231148
1385308,-c,231148,460504
1385309,+c,231147,231149
1385310,-c,231149,231147
1385311,+c,300505,231149
1385312,-c,231149,300505
1385313,+c,231147,231150
1385314,-c,231150,231147
1385315,+c,236838,231216
1385316,-c,231216,236838
1385317,+c,330962,231218
1385318,-c,231218,330962
1385319,+c,388287,231219
1385320,-c,231219,388287
1385321,+c,456958,231184
1385322,-c,231184,456958
1385323,+c,466594,231199
1385324,-c,231199,466594
1385325,+c,338252,231187
1385326,-c,231187,338252
1385327,+c,378440,231194
1385328,-c,231194,378440
1385329,+c,407487,231198
1385330,-c,231198,407487
1385331,+c,387556,231192
1385332,-c,231192,387556
1385333,+c,378440,231236
1385334,-c,231236,378440
1385335,+c,457439,456940
1385336,-c,456940,457439
1385337,+c,464661,231235
1385338,-c,231235,464661
1385339,+c,466326,231238
1385340,-c,231238,466326
1385341,+c,284630,231917
1385342,-c,231917,284630
1385343,+c,231924,231925
1385344,-c,231925,231924
1385345,+c,232054,232055
1385346,-c,232055,232054
1385347,+c,282893,232076
1385348,-c,232076,282893
1385349,+c,231927,231929
1385350,-c,231929,231927
1385351,+c,463707,231929
1385352,-c,231929,463707
1385353,+c,257834,231944
1385354,-c,231944,257834
1385355,+c,318035,231948
1385356,-c,231948,318035
1385357,+c,228581,231942
1385358,-c,231942,228581
1385359,+c,426799,231956
1385360,-c,231956,426799
1385361,+c,231976,231977
1385362,-c,231977,231976
1385365,+c,456967,231968
1385366,-c,231968,456967
1385367,+c,456967,231969
1385368,-c,231969,456967
1385369,+c,426799,231969
1385370,-c,231969,426799
1385371,+c,231985,231986
1385372,-c,231986,231985
1385373,+c,232034,231986
1385374,-c,231986,232034
1385375,+c,231985,231987
1385376,-c,231987,231985
1385377,+c,388445,231987
1385378,-c,231987,388445
1385379,+c,231985,231988
1385380,-c,231988,231985
1385381,+c,388445,231988
1385382,-c,231988,388445
1385383,+c,231046,231049
1385384,-c,231049,231046
1385385,+c,251484,231049
1385386,-c,231049,251484
1385387,+c,231046,231052
1385388,-c,231052,231046
1385389,+c,231046,231053
1385390,-c,231053,231046
1385391,+c,231046,231054
1385392,-c,231054,231046
1385393,+c,231046,231047
1385394,-c,231047,231046
1385395,+c,231046,231048
1385396,-c,231048,231046
1385397,+c,231046,231051
1385398,-c,231051,231046
1385399,+c,231046,231050
1385400,-c,231050,231046
1385401,+c,231046,231056
1385402,-c,231056,231046
1385403,+c,389514,231056
1385404,-c,231056,389514
1385405,+c,231046,231057
1385406,-c,231057,231046
1385407,+c,231046,231055
1385408,-c,231055,231046
1385409,+c,231377,231413
1385410,-c,231413,231377
1385411,+c,231377,231407
1385412,-c,231407,231377
1385413,+c,231377,231411
1385414,-c,231411,231377
1385415,+c,231377,231438
1385416,-c,231438,231377
1385417,+c,231377,231381
1385418,-c,231381,231377
1385419,+c,231377,231416
1385420,-c,231416,231377
1385421,+c,231377,231378
1385422,-c,231378,231377
1385423,+c,231536,231378
1385424,-c,231378,231536
1385425,+c,231377,231379
1385426,-c,231379,231377
1385427,+c,231377,231380
1385428,-c,231380,231377
1385429,+c,231377,231485
1385430,-c,231485,231377
1385431,+c,409891,231485
1385432,-c,231485,409891
1385433,+c,231377,231470
1385434,-c,231470,231377
1385435,+c,231377,231471
1385436,-c,231471,231377
1385437,+c,464661,231471
1385438,-c,231471,464661
1385439,+c,231377,231468
1385440,-c,231468,231377
1385441,+c,231377,231469
1385442,-c,231469,231377
1385443,+c,231377,231474
1385444,-c,231474,231377
1385445,+c,231377,231475
1385446,-c,231475,231377
1385447,+c,231377,231481
1385448,-c,231481,231377
1385449,+c,231377,231476
1385450,-c,231476,231377
1385451,+c,231377,231477
1385452,-c,231477,231377
1385453,+c,403849,231477
1385454,-c,231477,403849
1385455,+c,231377,231478
1385456,-c,231478,231377
1385457,+c,403849,231478
1385458,-c,231478,403849
1385459,+c,231377,231479
1385460,-c,231479,231377
1385461,+c,231377,231480
1385462,-c,231480,231377
1385463,+c,231377,231483
1385464,-c,231483,231377
1385465,+c,231377,231486
1385466,-c,231486,231377
1385467,+c,231377,231417
1385468,-c,231417,231377
1385469,+c,231377,231418
1385470,-c,231418,231377
1385471,+c,231377,231419
1385472,-c,231419,231377
1385473,+c,231377,231420
1385474,-c,231420,231377
1385475,+c,370042,231420
1385476,-c,231420,370042
1385477,+c,231377,231408
1385478,-c,231408,231377
1385479,+c,231377,231409
1385480,-c,231409,231377
1385481,+c,231377,231410
1385482,-c,231410,231377
1385483,+c,264307,231410
1385484,-c,231410,264307
1385485,+c,231532,231537
1385486,-c,231537,231532
1385487,+c,464661,231537
1385488,-c,231537,464661
1385491,+c,236838,231432
1385492,-c,231432,236838
1385493,+c,461116,231445
1385494,-c,231445,461116
1385495,+c,456958,231431
1385496,-c,231431,456958
1385497,+c,251969,231431
1385498,-c,231431,251969
1385499,+c,465441,231447
1385500,-c,231447,465441
1385501,+c,231455,231457
1385502,-c,231457,231455
1385503,+c,231455,231458
1385504,-c,231458,231455
1385505,+c,231455,231456
1385506,-c,231456,231455
1385507,+c,231455,231460
1385508,-c,231460,231455
1385509,+c,231455,231461
1385510,-c,231461,231455
1385511,+c,231455,231462
1385512,-c,231462,231455
1385513,+c,231455,231459
1385514,-c,231459,231455
1385515,+c,231455,231465
1385516,-c,231465,231455
1385517,+c,231455,231463
1385518,-c,231463,231455
1385519,+c,231455,231466
1385520,-c,231466,231455
1385521,+c,403670,231391
1385522,-c,231391,403670
1385523,+c,328947,231394
1385524,-c,231394,328947
1385525,+c,283731,231397
1385526,-c,231397,283731
1385527,+c,328947,231399
1385528,-c,231399,328947
1385529,+c,231040,456945
1385530,-c,456945,231040
1385531,+c,340330,456945
1385532,-c,456945,340330
1385533,+c,231493,231494
1385534,-c,231494,231493
1385535,+c,231493,231503
1385536,-c,231503,231493
1385537,+c,388445,231503
1385538,-c,231503,388445
1385539,+c,231493,231526
1385540,-c,231526,231493
1385543,+c,388349,231501
1385544,-c,231501,388349
1385545,+c,236838,231498
1385546,-c,231498,236838
1385547,+c,461239,231504
1385548,-c,231504,461239
1385549,+c,462310,231507
1385550,-c,231507,462310
1385551,+c,462149,231506
1385552,-c,231506,462149
1385553,+c,460657,231502
1385554,-c,231502,460657
1385555,+c,342402,231508
1385556,-c,231508,342402
1385557,+c,464661,231569
1385558,-c,231569,464661
1385559,+c,248140,231561
1385560,-c,231561,248140
1385561,+c,318035,231563
1385562,-c,231563,318035
1385563,+c,318035,231564
1385564,-c,231564,318035
1385565,+c,464661,231564
1385566,-c,231564,464661
1385567,+c,462901,231567
1385568,-c,231567,462901
1385569,+c,231257,231263
1385570,-c,231263,231257
1385571,+c,231257,231258
1385572,-c,231258,231257
1385573,+c,231257,231259
1385574,-c,231259,231257
1385575,+c,237227,231259
1385576,-c,231259,237227
1385577,+c,231257,231260
1385578,-c,231260,231257
1385579,+c,231257,231261
1385580,-c,231261,231257
1385581,+c,242408,231261
1385582,-c,231261,242408
1385583,+c,231257,231262
1385584,-c,231262,231257
1385585,+c,252798,231262
1385586,-c,231262,252798
1385587,+c,231257,231265
1385588,-c,231265,231257
1385589,+c,231257,231264
1385590,-c,231264,231257
1385591,+c,231257,231268
1385592,-c,231268,231257
1385593,+c,231270,231272
1385594,-c,231272,231270
1385595,+c,334306,231272
1385596,-c,231272,334306
1385597,+c,231276,231277
1385598,-c,231277,231276
1385599,+c,231276,231279
1385600,-c,231279,231276
1385601,+c,426435,231279
1385602,-c,231279,426435
1385603,+c,231276,231278
1385604,-c,231278,231276
1385605,+c,231273,231274
1385606,-c,231274,231273
1385607,+c,231687,231721
1385608,-c,231721,231687
1385609,+c,273090,231721
1385610,-c,231721,273090
1385611,+c,231687,231720
1385612,-c,231720,231687
1385613,+c,231687,231718
1385614,-c,231718,231687
1385617,+c,231687,231719
1385618,-c,231719,231687
1385619,+c,231687,231723
1385620,-c,231723,231687
1385621,+c,231687,231722
1385622,-c,231722,231687
1385623,+c,231687,231704
1385624,-c,231704,231687
1385625,+c,231687,231705
1385626,-c,231705,231687
1385627,+c,231687,231706
1385628,-c,231706,231687
1385629,+c,255218,231706
1385630,-c,231706,255218
1385631,+c,231687,231710
1385632,-c,231710,231687
1385633,+c,231687,231707
1385634,-c,231707,231687
1385635,+c,258562,231707
1385636,-c,231707,258562
1385637,+c,231687,231708
1385638,-c,231708,231687
1385639,+c,231687,231709
1385640,-c,231709,231687
1385641,+c,231687,231843
1385642,-c,231843,231687
1385643,+c,231687,231693
1385644,-c,231693,231687
1385645,+c,231687,231695
1385646,-c,231695,231687
1385647,+c,239506,231695
1385648,-c,231695,239506
1385649,+c,231687,231696
1385650,-c,231696,231687
1385651,+c,231687,231697
1385652,-c,231697,231687
1385653,+c,241134,231697
1385654,-c,231697,241134
1385655,+c,231687,231694
1385656,-c,231694,231687
1385657,+c,231687,231712
1385658,-c,231712,231687
1385659,+c,231687,231713
1385660,-c,231713,231687
1385661,+c,459068,231713
1385662,-c,231713,459068
1385663,+c,231687,231714
1385664,-c,231714,231687
1385665,+c,231687,231810
1385666,-c,231810,231687
1385667,+c,231687,231811
1385668,-c,231811,231687
1385669,+c,231687,231813
1385670,-c,231813,231687
1385671,+c,229687,231813
1385672,-c,231813,229687
1385673,+c,231687,231814
1385674,-c,231814,231687
1385675,+c,464661,231814
1385676,-c,231814,464661
1385677,+c,231687,456959
1385678,-c,456959,231687
1385679,+c,242408,456959
1385680,-c,456959,242408
1385681,+c,231687,231701
1385682,-c,231701,231687
1385683,+c,251621,231701
1385684,-c,231701,251621
1385685,+c,231687,231702
1385686,-c,231702,231687
1385687,+c,251969,231702
1385688,-c,231702,251969
1385689,+c,231687,231703
1385690,-c,231703,231687
1385691,+c,231687,231698
1385692,-c,231698,231687
1385693,+c,457623,231698
1385694,-c,231698,457623
1385695,+c,231687,231700
1385696,-c,231700,231687
1385697,+c,250973,231700
1385698,-c,231700,250973
1385699,+c,231687,231699
1385700,-c,231699,231687
1385701,+c,231687,231764
1385702,-c,231764,231687
1385703,+c,231687,231762
1385704,-c,231762,231687
1385705,+c,461251,231762
1385706,-c,231762,461251
1385707,+c,300505,231762
1385708,-c,231762,300505
1385709,+c,231687,231744
1385710,-c,231744,231687
1385711,+c,305967,231744
1385712,-c,231744,305967
1385713,+c,231687,231770
1385714,-c,231770,231687
1385715,+c,313653,231770
1385716,-c,231770,313653
1385717,+c,231687,231785
1385718,-c,231785,231687
1385719,+c,333912,231785
1385720,-c,231785,333912
1385721,+c,231687,231784
1385722,-c,231784,231687
1385723,+c,231687,231777
1385724,-c,231777,231687
1385725,+c,456958,231779
1385726,-c,231779,456958
1385727,+c,456958,231780
1385728,-c,231780,456958
1385729,+c,231687,231778
1385730,-c,231778,231687
1385731,+c,231687,231781
1385732,-c,231781,231687
1385733,+c,231687,231782
1385734,-c,231782,231687
1385735,+c,403670,231782
1385736,-c,231782,403670
1385737,+c,231687,231783
1385738,-c,231783,231687
1385739,+c,231687,231774
1385740,-c,231774,231687
1385741,+c,231687,231776
1385742,-c,231776,231687
1385743,+c,231687,231775
1385744,-c,231775,231687
1385745,+c,231687,231773
1385746,-c,231773,231687
1385747,+c,231687,231771
1385748,-c,231771,231687
1385749,+c,231687,231772
1385750,-c,231772,231687
1385751,+c,231687,231689
1385752,-c,231689,231687
1385753,+c,231687,231688
1385754,-c,231688,231687
1385755,+c,231687,231691
1385756,-c,231691,231687
1385757,+c,231687,231692
1385758,-c,231692,231687
1385759,+c,231687,231690
1385760,-c,231690,231687
1385761,+c,231687,231728
1385762,-c,231728,231687
1385763,+c,231687,231729
1385764,-c,231729,231687
1385765,+c,231687,231827
1385766,-c,231827,231687
1385767,+c,409399,231827
1385768,-c,231827,409399
1385769,+c,231687,231828
1385770,-c,231828,231687
1385771,+c,231687,231787
1385772,-c,231787,231687
1385773,+c,456958,231788
1385774,-c,231788,456958
1385775,+c,456958,231789
1385776,-c,231789,456958
1385777,+c,231687,231786
1385778,-c,231786,231687
1385779,+c,231687,231790
1385780,-c,231790,231687
1385783,+c,231687,231791
1385784,-c,231791,231687
1385785,+c,231687,231792
1385786,-c,231792,231687
1385787,+c,231687,231725
1385788,-c,231725,231687
1385789,+c,460198,231725
1385790,-c,231725,460198
1385791,+c,231687,231726
1385792,-c,231726,231687
1385793,+c,231687,231815
1385794,-c,231815,231687
1385795,+c,231687,231816
1385796,-c,231816,231687
1385797,+c,231687,231823
1385798,-c,231823,231687
1385799,+c,231687,231819
1385800,-c,231819,231687
1385801,+c,231687,231818
1385802,-c,231818,231687
1385803,+c,393910,231818
1385804,-c,231818,393910
1385805,+c,231687,231817
1385806,-c,231817,231687
1385807,+c,231687,231820
1385808,-c,231820,231687
1385809,+c,231687,231821
1385810,-c,231821,231687
1385811,+c,231687,231822
1385812,-c,231822,231687
1385813,+c,231687,231825
1385814,-c,231825,231687
1385815,+c,231687,231824
1385816,-c,231824,231687
1385817,+c,231687,231826
1385818,-c,231826,231687
1385819,+c,231687,231838
1385820,-c,231838,231687
1385821,+c,231687,231834
1385822,-c,231834,231687
1385823,+c,231687,231833
1385824,-c,231833,231687
1385825,+c,464661,231833
1385826,-c,231833,464661
1385827,+c,231687,231835
1385828,-c,231835,231687
1385829,+c,416876,231835
1385830,-c,231835,416876
1385831,+c,231687,231836
1385832,-c,231836,231687
1385833,+c,231687,231837
1385834,-c,231837,231687
1385835,+c,231687,231840
1385836,-c,231840,231687
1385837,+c,231687,231839
1385838,-c,231839,231687
1385839,+c,231687,231841
1385840,-c,231841,231687
1385841,+c,467660,231841
1385842,-c,231841,467660
1385843,+c,231687,231797
1385844,-c,231797,231687
1385845,+c,231687,231796
1385846,-c,231796,231687
1385847,+c,231687,231793
1385848,-c,231793,231687
1385849,+c,231687,231794
1385850,-c,231794,231687
1385851,+c,231687,231795
1385852,-c,231795,231687
1385853,+c,463142,231795
1385854,-c,231795,463142
1385855,+c,231687,231806
1385856,-c,231806,231687
1385857,+c,231687,231807
1385858,-c,231807,231687
1385859,+c,231687,231799
1385860,-c,231799,231687
1385861,+c,231687,231800
1385862,-c,231800,231687
1385863,+c,231687,231798
1385864,-c,231798,231687
1385865,+c,231687,231801
1385866,-c,231801,231687
1385867,+c,231687,231803
1385868,-c,231803,231687
1385869,+c,231687,231804
1385870,-c,231804,231687
1385871,+c,463694,231804
1385872,-c,231804,463694
1385873,+c,231687,231802
1385874,-c,231802,231687
1385875,+c,231687,231805
1385876,-c,231805,231687
1385877,+c,231906,231907
1385878,-c,231907,231906
1385879,+c,378440,231907
1385880,-c,231907,378440
1385881,+c,232008,231899
1385882,-c,231899,232008
1385883,+c,464661,231904
1385884,-c,231904,464661
1385885,+c,466624,231767
1385886,-c,231767,466624
1385887,+c,456961,231846
1385888,-c,231846,456961
1385889,+c,456961,231867
1385890,-c,231867,456961
1385891,+c,378440,231867
1385892,-c,231867,378440
1385893,+c,456961,231866
1385894,-c,231866,456961
1385895,+c,464661,231866
1385896,-c,231866,464661
1385897,+c,456961,231858
1385898,-c,231858,456961
1385899,+c,234745,231862
1385900,-c,231862,234745
1385901,+c,378440,231883
1385902,-c,231883,378440
1385903,+c,464661,231882
1385904,-c,231882,464661
1385905,+c,339572,231881
1385906,-c,231881,339572
1385907,+c,231993,231994
1385908,-c,231994,231993
1385909,+c,232034,232038
1385910,-c,232038,232034
1385911,+c,232034,232037
1385912,-c,232037,232034
1385913,+c,232034,232035
1385914,-c,232035,232034
1385915,+c,232034,232036
1385916,-c,232036,232034
1385917,+c,459068,232036
1385918,-c,232036,459068
1385919,+c,232034,232043
1385920,-c,232043,232034
1385921,+c,232034,232045
1385922,-c,232045,232034
1385923,+c,333912,232045
1385924,-c,232045,333912
1385925,+c,232034,232044
1385926,-c,232044,232034
1385927,+c,232034,232040
1385928,-c,232040,232034
1385929,+c,232034,232046
1385930,-c,232046,232034
1385931,+c,232034,232039
1385932,-c,232039,232034
1385933,+c,232034,232050
1385934,-c,232050,232034
1385935,+c,232034,232051
1385936,-c,232051,232034
1385937,+c,407487,232051
1385938,-c,232051,407487
1385939,+c,232034,232052
1385940,-c,232052,232034
1385941,+c,466454,232052
1385942,-c,232052,466454
1385943,+c,407487,232052
1385944,-c,232052,407487
1385945,+c,232034,232048
1385946,-c,232048,232034
1385947,+c,462901,232048
1385948,-c,232048,462901
1385949,+c,232034,232049
1385950,-c,232049,232034
1385951,+c,463984,231997
1385952,-c,231997,463984
1385953,+c,333096,232004
1385954,-c,232004,333096
1385955,+c,333096,232005
1385956,-c,232005,333096
1385957,+c,464661,232005
1385958,-c,232005,464661
1385959,+c,232008,232014
1385960,-c,232014,232008
1385961,+c,232008,232015
1385962,-c,232015,232008
1385963,+c,232008,232016
1385964,-c,232016,232008
1385965,+c,232008,232017
1385966,-c,232017,232008
1385967,+c,232008,232013
1385968,-c,232013,232008
1385969,+c,232008,232011
1385970,-c,232011,232008
1385971,+c,232008,232031
1385972,-c,232031,232008
1385973,+c,430970,232031
1385974,-c,232031,430970
1385975,+c,232008,232012
1385976,-c,232012,232008
1385977,+c,232008,232018
1385978,-c,232018,232008
1385979,+c,232008,232022
1385980,-c,232022,232008
1385981,+c,232008,232023
1385982,-c,232023,232008
1385983,+c,232008,232019
1385984,-c,232019,232008
1385985,+c,232008,232020
1385986,-c,232020,232008
1385987,+c,232008,232021
1385988,-c,232021,232008
1385989,+c,232008,232009
1385990,-c,232009,232008
1385991,+c,232008,232010
1385992,-c,232010,232008
1385993,+c,232008,232025
1385994,-c,232025,232008
1385995,+c,232008,232024
1385996,-c,232024,232008
1385997,+c,232008,232026
1385998,-c,232026,232008
1385999,+c,340154,232026
1386000,-c,232026,340154
1386001,+c,232008,232027
1386002,-c,232027,232008
1386003,+c,232008,232030
1386004,-c,232030,232008
1386005,+c,232008,232028
1386006,-c,232028,232008
1386007,+c,400610,232028
1386008,-c,232028,400610
1386009,+c,232008,232029
1386010,-c,232029,232008
1386011,+c,231586,231606
1386012,-c,231606,231586
1386013,+c,272156,231606
1386014,-c,231606,272156
1386015,+c,231586,231605
1386016,-c,231605,231586
1386017,+c,272156,231605
1386018,-c,231605,272156
1386019,+c,231586,231605
1386020,-c,231605,231586
1386021,+c,272156,231605
1386022,-c,231605,272156
1386043,+c,231586,231610
1386044,-c,231610,231586
1386045,+c,272156,231610
1386046,-c,231610,272156
1386055,+c,231586,231619
1386056,-c,231619,231586
1386057,+c,272156,231619
1386058,-c,231619,272156
1386059,+c,231586,231616
1386060,-c,231616,231586
1386061,+c,272156,231616
1386062,-c,231616,272156
1386063,+c,457762,231618
1386064,-c,231618,457762
1386065,+c,231586,231617
1386066,-c,231617,231586
1386067,+c,272156,231617
1386068,-c,231617,272156
1386069,+c,231586,231621
1386070,-c,231621,231586
1386071,+c,272156,231621
1386072,-c,231621,272156
1386073,+c,231586,231622
1386074,-c,231622,231586
1386075,+c,272156,231622
1386076,-c,231622,272156
1386077,+c,231586,231623
1386078,-c,231623,231586
1386079,+c,272156,231623
1386080,-c,231623,272156
1386081,+c,462149,231623
1386082,-c,231623,462149
1386083,+c,231586,231615
1386084,-c,231615,231586
1386085,+c,272156,231615
1386086,-c,231615,272156
1386087,+c,232008,231615
1386088,-c,231615,232008
1386089,+c,231586,231625
1386090,-c,231625,231586
1386091,+c,272156,231625
1386092,-c,231625,272156
1386093,+c,231586,231620
1386094,-c,231620,231586
1386095,+c,272156,231620
1386096,-c,231620,272156
1386097,+c,231586,231630
1386098,-c,231630,231586
1386099,+c,272156,231630
1386100,-c,231630,272156
1386101,+c,231586,231629
1386102,-c,231629,231586
1386103,+c,272156,231629
1386104,-c,231629,272156
1386105,+c,389508,231629
1386106,-c,231629,389508
1386107,+c,231586,231631
1386108,-c,231631,231586
1386109,+c,272156,231631
1386110,-c,231631,272156
1386111,+c,231586,231632
1386112,-c,231632,231586
1386113,+c,272156,231632
1386114,-c,231632,272156
1386115,+c,231586,231633
1386116,-c,231633,231586
1386117,+c,272156,231633
1386118,-c,231633,272156
1386119,+c,231586,231626
1386120,-c,231626,231586
1386121,+c,272156,231626
1386122,-c,231626,272156
1386123,+c,231586,231627
1386124,-c,231627,231586
1386125,+c,272156,231627
1386126,-c,231627,272156
1386127,+c,231586,231628
1386128,-c,231628,231586
1386129,+c,272156,231628
1386130,-c,231628,272156
1386131,+c,231586,231636
1386132,-c,231636,231586
1386133,+c,231586,231638
1386134,-c,231638,231586
1386135,+c,231586,231637
1386136,-c,231637,231586
1386137,+c,231586,231634
1386138,-c,231634,231586
1386139,+c,231586,456952
1386140,-c,456952,231586
1386141,+c,231586,231635
1386142,-c,231635,231586
1386143,+c,231586,231639
1386144,-c,231639,231586
1386145,+c,231586,231641
1386146,-c,231641,231586
1386147,+c,231586,231640
1386148,-c,231640,231586
1386149,+c,231586,456953
1386150,-c,456953,231586
1386151,+c,231586,456955
1386152,-c,456955,231586
1386153,+c,318035,456955
1386154,-c,456955,318035
1386155,+c,231586,456956
1386156,-c,456956,231586
1386157,+c,320968,456956
1386158,-c,456956,320968
1386159,+c,231586,231666
1386160,-c,231666,231586
1386161,+c,231586,231667
1386162,-c,231667,231586
1386165,+c,231586,231669
1386166,-c,231669,231586
1386171,+c,231586,231672
1386172,-c,231672,231586
1386173,+c,231586,231673
1386174,-c,231673,231586
1386175,+c,463222,456938
1386176,-c,456938,463222
1386179,+c,378440,231601
1386180,-c,231601,378440
1386181,+c,231590,231592
1386182,-c,231592,231590
1386183,+c,464661,231592
1386184,-c,231592,464661
1386185,+c,464661,231657
1386186,-c,231657,464661
1386187,+c,243241,231652
1386188,-c,231652,243241
1386189,+c,462749,231653
1386190,-c,231653,462749
1386191,+c,231674,231676
1386192,-c,231676,231674
1386193,+c,464661,231676
1386194,-c,231676,464661
1386195,+c,231674,231675
1386196,-c,231675,231674
1386197,+c,231585,456951
1386198,-c,456951,231585
1386199,+c,272156,456951
1386200,-c,456951,272156
1386201,+c,230008,230021
1386202,-c,230021,230008
1386203,+c,272156,230021
1386204,-c,230021,272156
1386205,+c,259173,230021
1386206,-c,230021,259173
1386207,+c,230008,230022
1386208,-c,230022,230008
1386209,+c,230008,230012
1386210,-c,230012,230008
1386211,+c,230008,230013
1386212,-c,230013,230008
1386213,+c,230008,230014
1386214,-c,230014,230008
1386215,+c,230008,230015
1386216,-c,230015,230008
1386217,+c,230008,230016
1386218,-c,230016,230008
1386219,+c,230008,230017
1386220,-c,230017,230008
1386221,+c,230008,230036
1386222,-c,230036,230008
1386223,+c,230008,230037
1386224,-c,230037,230008
1386227,+c,230008,230039
1386228,-c,230039,230008
1386229,+c,230008,230040
